categories,subcategories,bedrooms,bathrooms,building_size,land_size,num_floors,furnished,geo_point,page_url,parent_url,ac_unit,balcony,yard,security,pool,price
house,"[""house"",""single-family-house""]",3,3,78.0,70.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/cluster-modern-strategis-pinggir-jalan-sawangan-170661495262.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,yes,yes,yes,yes,,938000000
house,"[""house"",""single-family-house""]",4,3,96.0,136.0,,,"[106.7837,-6.3314]",https://www.lamudi.co.id/dijual-rumah-di-d-golden-ready-stock-tanah-luas-di-17065149560.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,,,,,1519900000
house,"[""house"",""single-family-house""]",3,2,125.0,68.0,2.0,,"[106.8747764,-6.367494]",https://www.lamudi.co.id/terlaris-di-tapos-depok-perumahan-eropa-klasik-pin-170669296739.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,,,yes,yes,,1090000000
house,"[""house"",""single-family-house""]",3,2,73.0,66.0,,,"[106.8747764,-6.367494]",https://www.lamudi.co.id/cluster-asri-dalam-komplek-cimanggis-170222653357.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,yes,yes,yes,yes,,787000000
house,"[""house"",""single-family-house""]",3,2,150.0,246.0,,,"[106.843995,-6.396921]",https://www.lamudi.co.id/jual-rumah-secondary-dekat-jalan-raya-keadilan-170677817624.html,https://www.lamudi.co.id/west-java/depok/sukmajaya/house/buy/,,,yes,,,1300000000
house,"[""house"",""single-family-house""]",3,2,180.0,264.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/rumah-seken-siap-kpr-di-villa-inti-persada-dekat-s-170615455417.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,2550000000
house,"[""house"",""single-family-house""]",2,1,36.0,50.0,,,"[106.78889,-6.43778]",https://www.lamudi.co.id/dp-0-all-in-angsuran-flat-168591103083.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,,,,,,385000000
house,"[""house"",""single-family-house""]",3,1,100.0,120.0,,,"[106.843995,-6.396921]",https://www.lamudi.co.id/dijual-perumahan-grand-depok-city-cluster-new-angr-169625820547.html,https://www.lamudi.co.id/west-java/depok/sukmajaya/house/buy/,,,,,,1300000000
house,"[""house"",""townhouse""]",3,2,90.0,105.0,,,"[106.8747764,-6.367494]",https://www.lamudi.co.id/hunian-berkonsep-tropis-modern-di-selatan-jakarta-169692875467.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,,yes,yes,yes,,1100000000
house,"[""house"",""single-family-house""]",2,1,45.0,72.0,,,"[106.8118296,-6.4452406]",https://www.lamudi.co.id/dapatkan-rumah-400-jutaan-kpr-syariah-tanpa-bank-d-169144955871.html,https://www.lamudi.co.id/west-java/depok/citayam/house/buy/,yes,,yes,yes,,465000000
house,"[""house"",""single-family-house""]",3,3,185.0,108.0,2.0,,"[106.7837,-6.3314]",https://www.lamudi.co.id/rumah-cinere-2-lantai-dekat-mrt-lebak-bulus-170818106067.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,,,,,1850000000
house,"[""house"",""single-family-house""]",1,1,56.0,123.0,,,"[1,1]",https://www.lamudi.co.id/rumah-lelang-bank-perum-puri-asri-tanah-baru-beji-169235399536.html,https://www.lamudi.co.id/west-java/depok/beji-3/house/buy/,,,,,,1200000000
house,"[""house"",""single-family-house""]",5,3,200.0,150.0,,,"[106.7837,-6.3314]",https://www.lamudi.co.id/jual-cepat-murah-rumah-andara-village-tol-brigif-t-170616558191.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,yes,yes,yes,yes,,1900000000
house,"[""house"",""single-family-house""]",2,1,30.0,52.0,,,"[106.78061089385,-6.4508054375177]",https://www.lamudi.co.id/raih-kesempatan-emas-kpr-tanpa-dp-rumah-1-lantai-d-170428893141.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,,,,,,380000000
house,"[""house"",""single-family-house""]",2,1,36.0,53.0,,,"[106.7762725592,-6.433290074921]",https://www.lamudi.co.id/rumah-mewah-sudah-ready-stock-170947055077.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,,,265000000
