lokasi,harga,kamar_tidur,kamar_mandi,luas_bangunan,rumah_luas_lahan,keamanan24jam,taman,lahan_parkir,balcony,AC
limo,1320000000,3.0,3.0,140.0,72.0,yes,yes,1.0,yes,no
bojongsari,1100000000,4.0,2.0,110.0,159.0,yes,yes,2.0,no,no
bojongsari,625000000,2.0,1.0,39.0,83.0,yes,yes,1.0,no,no
bojongsari,875000000,2.0,1.0,90.0,175.0,yes,yes,1.0,no,no
sukmajaya,1800000000,3.0,3.0,150.0,106.0,yes,yes,1.0,yes,no
bojongsari,900000000,3.0,1.0,81.0,81.0,yes,no,1.0,no,no
limo,1080000000,3.0,2.0,80.0,84.0,yes,yes,1.0,no,no
tapos,1380000000,3.0,3.0,104.0,164.0,yes,yes,1.0,no,no
limo,1500000000,3.0,2.0,105.0,95.0,yes,yes,1.0,no,no
bojongsari,780000000,2.0,1.0,42.0,72.0,yes,yes,1.0,no,no
sawangan,660000000,2.0,1.0,50.0,82.0,yes,yes,1.0,no,no
pancoran mas,2040000000,3.0,3.0,115.0,150.0,yes,yes,1.0,no,no
bojongsari,1350000000,3.0,3.0,100.0,123.0,yes,yes,1.0,no,no
sawangan,1320000000,2.0,2.0,100.0,140.0,yes,no,2.0,no,no
cinere,2640000000,4.0,4.0,140.0,110.0,yes,yes,1.0,no,no
pancoran mas,1080000000,2.0,1.0,70.0,90.0,yes,yes,1.0,no,no
cilodong,660000000,2.0,1.0,72.0,72.0,yes,yes,1.0,no,no
pancoran mas,1500000000,3.0,3.0,88.0,84.0,yes,yes,1.0,no,no
cipayung,660000000,2.0,1.0,50.0,69.0,yes,yes,1.0,no,no
sawangan,875000000,2.0,1.0,90.0,175.0,yes,yes,1.0,no,no
bojongsari,1560000000,3.0,2.0,90.0,109.0,yes,yes,2.0,yes,no
sawangan,1100000000,4.0,2.0,110.0,159.0,yes,yes,2.0,no,no
limo,1400000000,3.0,2.0,135.0,225.0,yes,yes,2.0,yes,no
sawangan,900000000,3.0,1.0,81.0,81.0,yes,no,1.0,no,no
beji,1560000000,3.0,3.0,145.0,115.0,yes,yes,2.0,no,no
cimanggis,2550000000,3.0,3.0,160.0,165.0,yes,yes,1.0,no,no
sawangan,1078000000,3.0,2.0,96.0,160.0,yes,yes,1.0,no,no
limo,2400000000,3.0,2.0,150.0,120.0,yes,yes,1.0,no,no
limo,1320000000,2.0,2.0,100.0,140.0,yes,no,2.0,no,no
cinere,1920000000,2.0,3.0,160.0,167.0,yes,yes,1.0,no,no
pancoran mas,1560000000,3.0,3.0,145.0,115.0,yes,yes,2.0,yes,no
cimanggis,1660000000,3.0,3.0,140.0,113.0,yes,yes,1.0,yes,no
pancoran mas,1560000000,3.0,2.0,85.0,133.0,yes,no,1.0,no,no
limo,2040000000,2.0,2.0,150.0,113.0,yes,yes,2.0,no,no
bojongsari,690000000,2.0,1.0,50.0,76.0,yes,yes,1.0,no,no
sawangan,1400000000,3.0,2.0,909.0,227.0,yes,yes,2.0,no,no
cipayung,660000000,2.0,1.0,50.0,82.0,yes,yes,1.0,no,no
sawangan,1200000000,3.0,3.0,100.0,120.0,yes,yes,1.0,no,no
cinere,1920000000,2.0,3.0,160.0,167.0,yes,no,1.0,no,no
sawangan,2160000000,2.0,1.0,60.0,152.0,yes,yes,1.0,no,no
sukmajaya,2280000000,3.0,4.0,200.0,180.0,yes,yes,1.0,yes,no
cimanggis,1800000000,4.0,2.0,130.0,105.0,yes,yes,2.0,yes,no
cimanggis,1000000000,3.0,2.0,90.0,65.0,no,no,2.0,no,no
cilodong,735000000,2.0,2.0,50.0,74.0,no,yes,1.0,no,yes
limo,549000000,1.0,2.0,40.0,70.0,yes,yes,1.0,no,no
cilodong,1250000000,4.0,2.0,120.0,300.0,no,yes,1.0,no,no
cilodong,610000000,2.0,1.0,36.0,61.0,no,no,1.0,no,no
beji,987000000,2.0,2.0,70.0,98.0,no,no,1.0,no,no
bojongsari,1172500000,3.0,2.0,75.0,84.0,yes,yes,2.0,no,no
cimanggis,680000000,2.0,1.0,49.0,68.0,no,no,1.0,no,no
bojongsari,594000000,2.0,1.0,45.0,60.0,no,no,1.0,no,no
cimanggis,1043000000,3.0,2.0,70.0,78.0,yes,no,2.0,no,no
cinere,890000000,3.0,2.0,88.0,105.0,no,no,1.0,no,no
tapos,400000000,2.0,2.0,50.0,42.0,yes,yes,1.0,yes,no
sawangan,754615210,3.0,2.0,63.0,70.0,yes,yes,2.0,yes,yes
sawangan,715498000,3.0,2.0,64.0,67.0,yes,yes,2.0,yes,yes
cilodong,455000000,2.0,2.0,45.0,40.0,yes,yes,1.0,yes,no
pancoran mas,811000000,3.0,2.0,70.0,72.0,no,no,1.0,no,no
sawangan,1600000000,4.0,3.0,250.0,168.0,yes,yes,1.0,no,yes
bojongsari,885000000,3.0,2.0,72.0,65.0,yes,yes,2.0,yes,no
tapos,499000000,2.0,1.0,87.0,87.0,no,no,1.0,no,no
sawangan,1121000000,3.0,2.0,72.0,121.0,yes,yes,2.0,yes,yes
beji,599000000,2.0,1.0,50.0,63.0,no,no,1.0,no,no
cilodong,696276000,3.0,2.0,56.0,82.0,no,no,1.0,yes,yes
sawangan,200000000,2.0,1.0,27.0,40.0,no,no,1.0,no,no
pancoran mas,749500000,3.0,2.0,60.0,52.0,yes,yes,1.0,yes,yes
depok,320000000,2.0,1.0,50.0,60.0,no,no,1.0,no,no
cilodong,285000000,2.0,1.0,36.0,45.0,yes,no,1.0,no,no
sawangan,968000000,2.0,1.0,50.0,90.0,yes,yes,1.0,no,yes
cinere,4900000000,3.0,3.0,180.0,668.0,yes,yes,4.0,no,yes
cipayung,195000000,2.0,1.0,36.0,55.0,no,no,1.0,no,no
pancoran mas,165000000,2.0,1.0,45.0,45.0,no,no,1.0,no,no
cinere,2800000000,3.0,3.0,225.0,150.0,yes,no,2.0,no,no
depok,1250000000,3.0,3.0,90.0,108.0,no,no,2.0,no,no
sawangan,718726912,3.0,2.0,65.0,70.0,yes,yes,2.0,yes,yes
cilodong,735000000,2.0,2.0,50.0,72.0,no,no,1.0,no,no
sawangan,550000000,2.0,1.0,46.0,84.0,yes,yes,1.0,no,no
cinere,13000000000,5.0,6.0,2500.0,1125.0,no,no,1.0,no,no
tapos,506000000,2.0,2.0,46.0,40.0,yes,yes,1.0,yes,no
beji,950000000,3.0,2.0,73.0,65.0,yes,yes,1.0,yes,yes
cipayung,353000000,2.0,1.0,36.0,61.0,no,yes,1.0,no,no
sawangan,400000000,2.0,1.0,36.0,69.0,yes,yes,1.0,no,no
sawangan,732101200,3.0,2.0,63.0,66.0,yes,no,2.0,yes,no
cilodong,570000000,2.0,2.0,50.0,40.0,no,no,1.0,no,no
cimanggis,1200000000,3.0,2.0,90.0,65.0,yes,yes,2.0,no,no
depok,1015000000,3.0,2.0,79.0,90.0,no,no,1.0,no,no
pancoran mas,800000000,3.0,2.0,70.0,75.0,no,yes,1.0,yes,yes
sawangan,299000000,2.0,1.0,36.0,85.0,no,no,1.0,no,no
cilodong,699000000,3.0,2.0,60.0,60.0,yes,yes,2.0,no,no
pancoran mas,499000000,2.0,1.0,40.0,70.0,no,yes,1.0,no,no
depok,550000000,2.0,1.0,36.0,60.0,no,yes,1.0,no,no
cimanggis,685000000,2.0,1.0,90.0,90.0,no,no,1.0,no,no
cinere,999000000,3.0,2.0,75.0,96.0,no,no,1.0,no,no
sawangan,445000000,2.0,1.0,42.0,60.0,yes,yes,2.0,yes,yes
bojongsari,1350000000,3.0,2.0,75.0,124.0,no,no,1.0,no,no
cimanggis,2145000000,3.0,2.0,92.0,96.0,no,no,1.0,no,no
depok,450000000,2.0,1.0,36.0,60.0,yes,yes,1.0,no,yes
sawangan,559000000,3.0,1.0,52.0,60.0,yes,yes,1.0,yes,no
cilodong,650000000,3.0,1.0,38.0,60.0,no,no,1.0,no,no
cilodong,588806000,2.0,2.0,40.0,68.0,yes,yes,1.0,yes,no
cipayung,535000000,2.0,1.0,48.0,78.0,no,yes,1.0,no,no
sawangan,529000000,2.0,1.0,45.0,75.0,yes,yes,1.0,no,no
sawangan,779569504,3.0,2.0,56.0,68.0,yes,yes,1.0,yes,no
sawangan,185000000,2.0,1.0,36.0,50.0,no,no,1.0,no,no
sawangan,450000000,4.0,2.0,110.0,65.0,no,yes,1.0,no,no
sawangan,230000000,2.0,1.0,40.0,60.0,no,no,1.0,no,no
cimanggis,600000000,3.0,2.0,72.0,50.0,no,yes,1.0,no,yes
sawangan,750000000,3.0,2.0,70.0,60.0,no,no,1.0,no,no
sawangan,470000000,2.0,1.0,42.0,60.0,yes,yes,1.0,yes,yes
tapos,356500000,2.0,1.0,30.0,61.0,no,yes,1.0,no,no
beji,630000000,2.0,2.0,50.0,75.0,no,no,1.0,no,no
cilodong,350000000,2.0,1.0,50.0,67.0,yes,yes,1.0,no,yes
sawangan,300000000,2.0,1.0,30.0,50.0,no,no,1.0,no,yes
sawangan,786000000,3.0,2.0,70.0,67.0,no,no,1.0,no,no
tapos,495500000,2.0,1.0,45.0,42.0,no,yes,1.0,no,no
cipayung,250000000,2.0,1.0,52.0,62.0,no,no,1.0,no,no
cinere,620000000,2.0,1.0,50.0,75.0,no,no,2.0,no,no
sawangan,185000000,2.0,1.0,36.0,42.0,no,yes,1.0,no,no
cimanggis,790000000,3.0,2.0,68.0,70.0,yes,yes,1.0,yes,yes
cimanggis,799000000,3.0,2.0,68.0,65.0,yes,yes,1.0,yes,yes
pancoran mas,499000000,2.0,1.0,40.0,72.0,yes,yes,1.0,no,yes
sawangan,804400600,3.0,2.0,56.0,68.0,yes,yes,2.0,yes,yes
pancoran mas,725000000,2.0,1.0,44.0,68.0,no,no,1.0,no,no
cilodong,1550000000,4.0,4.0,200.0,200.0,no,no,2.0,no,no
cinere,1610000000,4.0,4.0,100.0,76.0,no,no,1.0,no,no
bojongsari,872500000,2.0,1.0,45.0,84.0,yes,yes,1.0,yes,no
cipayung,215000000,2.0,2.0,45.0,47.0,no,no,1.0,no,no
sawangan,275000000,2.0,1.0,40.0,60.0,yes,yes,6.0,no,no
cipayung,150000000,2.0,1.0,35.0,40.0,no,no,1.0,no,no
cilodong,700000000,3.0,2.0,80.0,80.0,yes,yes,1.0,yes,no
cimanggis,895000000,3.0,2.0,72.0,60.0,yes,no,1.0,yes,no
sawangan,495000000,2.0,1.0,45.0,90.0,yes,yes,1.0,no,no
sukmajaya,795000000,3.0,2.0,60.0,72.0,no,yes,1.0,no,no
sawangan,275000000,2.0,1.0,30.0,60.0,no,no,1.0,no,no
sawangan,365000000,2.0,1.0,36.0,60.0,no,no,1.0,no,no
cimanggis,1630100000,2.0,2.0,89.0,85.0,yes,yes,1.0,no,no
bojongsari,887250000,2.0,2.0,51.0,72.0,yes,yes,72.0,no,no
sawangan,800000000,3.0,2.0,62.0,72.0,no,no,2.0,no,no
pancoran mas,460000000,2.0,1.0,36.0,682.0,yes,no,1.0,no,no
cipayung,250000000,2.0,1.0,38.0,38.0,no,no,1.0,no,no
depok,150000000,2.0,1.0,33.0,34.0,no,no,1.0,no,no
cipayung,230000000,2.0,1.0,35.0,50.0,no,no,1.0,no,no
cilodong,550000000,2.0,1.0,42.0,78.0,yes,yes,2.0,no,yes
sawangan,2300000000,6.0,4.0,185.0,416.0,no,yes,4.0,yes,yes
cimanggis,800000000,3.0,2.0,60.0,60.0,yes,yes,1.0,yes,no
limo,600000000,3.0,1.0,80.0,274.0,no,no,1.0,yes,no
tapos,700000000,2.0,1.0,69.0,61.0,yes,yes,1.0,yes,no
cimanggis,907250000,3.0,2.0,51.0,72.0,yes,yes,2.0,yes,no
cimanggis,550000000,2.0,1.0,45.0,50.0,yes,no,1.0,yes,no
depok,1120000000,4.0,3.0,110.0,90.0,yes,no,1.0,no,yes
pancoran mas,695000000,2.0,2.0,60.0,79.0,no,no,1.0,no,no
cilodong,650000000,3.0,2.0,152.0,152.0,no,no,1.0,no,no
cilodong,579000000,2.0,1.0,45.0,78.0,no,yes,1.0,no,no
sawangan,155000000,2.0,1.0,40.0,50.0,no,no,1.0,no,no
sawangan,945000000,3.0,3.0,100.0,65.0,yes,yes,1.0,yes,no
cimanggis,2296200000,3.0,3.0,128.0,119.0,yes,yes,2.0,no,no
cilodong,600000000,3.0,2.0,546.0,60.0,yes,yes,1.0,yes,no
pancoran mas,730000000,3.0,2.0,65.0,60.0,yes,yes,1.0,yes,yes
cipayung,330000000,2.0,1.0,36.0,60.0,no,yes,1.0,no,no
cilodong,235000000,2.0,1.0,33.0,43.0,no,no,1.0,no,yes
sawangan,2914622000,4.0,4.0,180.0,144.0,yes,yes,2.0,yes,no
cimanggis,720710000,3.0,2.0,54.0,60.0,no,no,1.0,no,no
sawangan,372000000,2.0,2.0,40.0,40.0,yes,yes,1.0,yes,no
cilodong,725000000,3.0,2.0,56.0,66.0,no,no,1.0,no,yes
cilodong,710000000,2.0,2.0,45.0,84.0,yes,yes,1.0,no,yes
sawangan,1100000000,3.0,2.0,70.0,114.0,yes,yes,1.0,no,no
cilodong,725000000,2.0,1.0,65.0,90.0,yes,yes,1.0,no,yes
cilodong,637450000,3.0,2.0,54.0,60.0,yes,yes,1.0,yes,no
depok,695000000,2.0,1.0,45.0,68.0,yes,no,1.0,no,yes
cilodong,999350000,2.0,1.0,34.0,76.0,yes,yes,1.0,no,yes
cilodong,670000000,3.0,2.0,60.0,72.0,yes,yes,2.0,yes,no
sawangan,1944593000,3.0,3.0,111.0,98.0,yes,yes,2.0,yes,no
tapos,490000000,2.0,1.0,40.0,57.0,yes,yes,1.0,yes,yes
bojongsari,550000000,2.0,1.0,50.0,73.0,no,no,1.0,no,no
sawangan,1195000000,3.0,2.0,80.0,109.0,yes,yes,15.0,yes,no
sawangan,496000000,2.0,1.0,40.0,54.0,yes,no,1.0,yes,no
cilodong,1020600000,3.0,2.0,80.0,87.0,no,no,1.0,no,yes
sawangan,795000000,3.0,2.0,60.0,70.0,yes,yes,2.0,yes,yes
sawangan,3664065000,4.0,4.0,184.0,187.0,yes,yes,2.0,yes,no
sawangan,2524733000,4.0,2.0,150.0,128.0,yes,yes,2.0,yes,no
bojongsari,1200000000,3.0,2.0,80.0,96.0,yes,yes,1.0,no,no
tapos,900000000,3.0,3.0,65.0,120.0,no,no,1.0,no,no
sawangan,2330522000,3.0,3.0,137.0,112.0,yes,yes,2.0,yes,no
pancoran mas,670000000,3.0,2.0,150.0,84.0,no,no,1.0,no,no
pancoran mas,779500000,3.0,2.0,65.0,61.0,no,no,1.0,no,no
cipayung,250000000,2.0,1.0,40.0,60.0,no,no,1.0,no,no
cilodong,912100000,3.0,2.0,70.0,66.0,no,no,1.0,no,no
limo,910000000,3.0,2.0,94.0,74.0,yes,yes,1.0,no,yes
cinere,1450000000,5.0,3.0,160.0,136.0,yes,yes,1.0,yes,no
sawangan,375000000,2.0,1.0,36.0,72.0,no,no,1.0,no,no
beji,1300000000,3.0,3.0,130.0,130.0,no,no,1.0,no,no
cimanggis,743830000,3.0,2.0,60.0,72.0,yes,no,1.0,no,no
bojongsari,1250000000,3.0,2.0,100.0,100.0,no,no,1.0,no,no
cilodong,450000000,2.0,1.0,40.0,72.0,no,no,1.0,no,no
bojongsari,225000000,2.0,1.0,36.0,60.0,no,no,1.0,no,no
cilodong,915000000,3.0,2.0,70.0,97.0,yes,yes,1.0,yes,no
cimanggis,2941000000,3.0,3.0,165.0,153.0,yes,yes,3.0,yes,no
beji,1050000000,3.0,2.0,100.0,72.0,no,no,1.0,no,no
beji,998000000,4.0,2.0,120.0,127.0,yes,yes,1.0,no,no
cimanggis,990000000,2.0,1.0,56.0,64.0,yes,yes,1.0,no,no
cimanggis,2500000000,4.0,4.0,238.0,185.0,no,yes,1.0,yes,yes
sawangan,2348400000,3.0,4.0,109.0,140.0,yes,yes,2.0,yes,no
cimanggis,900000000,2.0,1.0,40.0,60.0,yes,yes,1.0,no,yes
cipayung,457000000,2.0,1.0,40.0,53.0,yes,yes,1.0,yes,yes
tapos,2000000000,4.0,2.0,147.0,200.0,no,yes,1.0,no,no
sawangan,1580000000,3.0,2.0,80.0,120.0,yes,yes,1.0,yes,yes
cimanggis,1000000000,4.0,3.0,98.0,120.0,yes,yes,1.0,no,yes
sawangan,542000000,2.0,1.0,45.0,76.0,yes,yes,1.0,no,no
cimanggis,1365000000,3.0,2.0,110.0,96.0,yes,yes,1.0,yes,yes
cimanggis,789000000,3.0,2.0,70.0,65.0,yes,yes,1.0,yes,yes
sawangan,2785298000,3.0,4.0,110.0,200.0,yes,yes,2.0,yes,no
sawangan,1627401000,3.0,2.0,79.0,113.0,yes,yes,2.0,no,no
cimanggis,798000000,3.0,2.0,68.0,63.0,yes,yes,1.0,yes,yes
sawangan,1320000000,6.0,4.0,280.0,160.0,no,no,1.0,no,no
cinere,11000000000,9.0,6.0,596.0,700.0,no,no,1.0,no,no
depok,998000000,3.0,2.0,75.0,85.0,no,no,1.0,yes,no
beji,999000000,3.0,2.0,85.0,65.0,yes,yes,3.0,yes,yes
sawangan,1771601000,3.0,4.0,110.0,112.0,yes,yes,2.0,no,no
depok,999000000,2.0,2.0,90.0,60.0,yes,yes,1.0,no,no
cimanggis,1000000000,4.0,3.0,72.0,120.0,yes,yes,1.0,no,yes
pancoran mas,499000000,2.0,1.0,40.0,72.0,yes,no,1.0,no,yes
cimanggis,900000000,3.0,2.0,65.0,90.0,yes,yes,1.0,no,yes
bojongsari,1948000000,2.0,2.0,75.0,106.0,yes,yes,1.0,no,no
bojongsari,2797000000,4.0,3.0,120.0,129.0,yes,yes,2.0,no,no
sawangan,3912000000,3.0,2.0,184.0,200.0,yes,no,1.0,no,no
cilodong,650000000,2.0,1.0,45.0,78.0,yes,yes,1.0,no,no
cimanggis,790000000,3.0,2.0,70.0,60.0,yes,yes,1.0,yes,yes
bojongsari,1679000000,3.0,3.0,103.0,96.0,yes,yes,2.0,no,no
cimanggis,900000000,2.0,2.0,65.0,90.0,yes,yes,1.0,no,yes
sawangan,1250000000,3.0,2.0,100.0,100.0,no,no,1.0,no,no
sawangan,1880929000,3.0,2.0,79.0,148.0,no,no,2.0,no,no
bojongsari,1816000000,3.0,3.0,91.0,124.0,yes,yes,2.0,no,no
sukmajaya,4500000000,6.0,5.0,471.0,300.0,yes,yes,1.0,yes,no
pancoran mas,275000000,2.0,1.0,60.0,75.0,no,no,1.0,no,no
cilodong,510000000,2.0,1.0,45.0,84.0,yes,no,1.0,no,yes
cilodong,610000000,2.0,1.0,40.0,61.0,no,yes,1.0,no,no
depok,400000000,2.0,1.0,65.0,60.0,no,no,1.0,no,no
sawangan,300000000,2.0,1.0,38.0,50.0,yes,yes,1.0,no,no
depok,250000000,2.0,1.0,45.0,75.0,no,no,1.0,no,no
cimanggis,685000000,2.0,2.0,60.0,90.0,yes,yes,1.0,no,yes
cilodong,395000000,2.0,1.0,36.0,53.0,yes,yes,1.0,no,yes
bojongsari,465000000,2.0,1.0,40.0,70.0,no,no,1.0,no,no
depok,215000000,2.0,1.0,36.0,60.0,no,no,1.0,no,no
cinere,790000000,3.0,2.0,72.0,60.0,yes,yes,1.0,yes,yes
cipayung,494000000,2.0,1.0,40.0,63.0,no,yes,1.0,no,no
depok,414000000,2.0,1.0,36.0,72.0,yes,yes,1.0,no,yes
beji,830000000,2.0,1.0,90.0,111.0,no,no,1.0,no,no
depok,1080000000,3.0,3.0,85.0,75.0,no,no,1.0,no,no
beji,776000000,2.0,2.0,51.0,60.0,no,no,1.0,no,no
cipayung,385000000,2.0,1.0,36.0,60.0,yes,yes,1.0,no,yes
cilodong,1800000000,5.0,2.0,150.0,150.0,no,no,1.0,no,no
pancoran mas,350000000,2.0,1.0,40.0,60.0,no,yes,1.0,no,no
bojongsari,514522000,2.0,1.0,40.0,60.0,no,yes,1.0,no,no
beji,980000000,3.0,3.0,70.0,114.0,no,yes,1.0,yes,yes
cinere,5500000000,5.0,4.0,400.0,668.0,yes,yes,1.0,yes,yes
beji,850000000,3.0,3.0,80.0,66.0,yes,yes,1.0,yes,yes
pancoran mas,707000000,3.0,2.0,60.0,68.0,no,no,1.0,no,no
cilodong,840000000,3.0,2.0,54.0,65.0,yes,yes,2.0,yes,no
pancoran mas,925000000,3.0,3.0,80.0,83.0,yes,yes,1.0,yes,yes
cipayung,425000000,2.0,1.0,40.0,60.0,yes,yes,1.0,no,yes
cilodong,2550000000,8.0,3.0,480.0,300.0,yes,yes,1.0,yes,no
cinere,1700000000,3.0,2.0,150.0,192.0,no,yes,1.0,no,yes
beji,4950000000,4.0,4.0,500.0,500.0,no,no,1.0,no,no
cinere,3300000000,3.0,4.0,300.0,250.0,no,no,1.0,no,no
sawangan,974000000,3.0,2.0,70.0,90.0,yes,yes,1.0,yes,no
sukmajaya,550000000,2.0,1.0,50.0,80.0,yes,yes,1.0,no,no
cilodong,675000000,2.0,1.0,46.0,60.0,no,no,2.0,no,no
beji,4000000000,7.0,3.0,450.0,487.0,no,yes,5.0,yes,no
bojongsari,1410000000,5.0,4.0,130.0,93.0,yes,yes,2.0,yes,no
cipayung,200000000,2.0,1.0,45.0,72.0,no,yes,1.0,no,no
tapos,950000000,3.0,2.0,75.0,61.0,no,no,1.0,no,no
cilodong,750000000,3.0,2.0,85.0,63.0,yes,yes,1.0,no,no
bojongsari,519990000,2.0,1.0,50.0,71.0,no,no,1.0,no,no
