lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
pancoran mas,3,2,90.0,72.0,yes,yes,yes,no,1380000000
sawangan,2,1,50.0,70.0,no,no,no,no,450000000
cilodong,2,1,40.0,47.0,no,no,no,no,400000000
cilodong,3,2,60.0,60.0,no,yes,yes,yes,750000000
cimanggis,3,2,95.0,113.0,no,no,no,no,950000000
cilodong,2,1,45.0,84.0,yes,no,no,yes,510000000
cimanggis,2,2,68.0,54.0,no,yes,yes,yes,750000000
sawangan,3,1,55.0,104.0,no,no,no,no,635000000
sukmajaya,2,1,38.0,90.0,no,no,no,no,920000000
cipayung,2,1,40.0,72.0,yes,yes,no,no,425600000
cilodong,2,1,40.0,66.0,yes,yes,no,no,530000000
depok,2,1,33.0,34.0,no,no,no,no,150000000
tapos,3,3,80.0,80.0,no,no,no,no,1163640000
pancoran mas,3,3,80.0,83.0,yes,yes,yes,yes,925000000
bojongsari,2,1,45.0,97.0,no,yes,no,no,888300000
cilodong,3,3,100.0,90.0,no,no,no,no,950000000
sukmajaya,3,3,75.0,109.0,yes,yes,yes,yes,1125000000
tapos,2,1,45.0,73.0,yes,yes,yes,no,570000000
sukmajaya,2,1,72.0,50.0,no,no,no,no,350000000
sukmajaya,2,2,45.0,60.0,yes,yes,yes,yes,477000000
cimanggis,3,2,103.0,55.0,yes,yes,yes,yes,1400000000
cimanggis,3,2,121.0,130.0,yes,yes,yes,no,2040000000
cinere,3,2,150.0,120.0,yes,yes,no,no,2400000000
cilodong,3,3,100.0,95.0,no,yes,no,yes,980000000
cilodong,2,1,45.0,126.0,no,no,no,no,890000000
sukmajaya,3,3,80.0,78.0,yes,no,no,no,1050000000
bojongsari,2,1,60.0,69.0,no,no,no,no,590000000
sukmajaya,3,2,61.0,63.0,no,no,no,no,774000000
tapos,3,2,84.0,84.0,yes,yes,yes,yes,979987000
sawangan,3,2,70.0,60.0,no,no,no,no,750000000
sawangan,2,1,45.0,84.0,no,yes,no,yes,576000000
sukmajaya,3,2,70.0,79.0,yes,yes,yes,yes,930000000
sukmajaya,2,1,45.0,112.0,no,yes,no,yes,780000000
pancoran mas,2,1,50.0,69.0,yes,yes,no,no,660000000
beji,3,3,110.0,91.0,no,no,no,no,1450000000
sawangan,2,1,36.0,50.0,yes,yes,no,yes,200000000
cimanggis,2,1,40.0,63.0,no,yes,no,no,486000000
cipayung,2,1,50.0,100.0,yes,yes,no,no,400000000
sukmajaya,4,4,140.0,114.0,no,no,no,no,1665000000
cimanggis,2,2,54.0,60.0,no,no,no,no,800000000
