rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_luas_lahan,rumah_lahan_parkir,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_AC,rumah_taman,rumah_keamanan,rumah_kolam_renang,rumah_balcony,rumah_jumlah_lantai,rumah_fully_furnished
https://www.lamudi.co.id/ad118-cluster-cantik-2-lantai-di-belakang-poltek-u-166748105752.html,Ad118.Cluster Cantik 2 Lantai di Belakang Poltek UI Beji Timur Depok,"Beji Timur Depok Beji Timur, Depok",Rp 1.350.000.000,72,2,3,3,100,,,,,,,
https://www.lamudi.co.id/rumah-dekat-jakarta-selatan-166537436353.html,rumah dekat jakarta selatan,"Jalan Perdamaian 3, Depok 16426, Indonesia Tanah Baru, Depok",Rp 1.630.000.000,83,2,3,2,81,,yes,yes,yes,yes,,
https://www.lamudi.co.id/tanah-119-carpot-2-mobil-tanpa-dp-free-kpr-165942905299.html,Tanah 119 carpot 2 mobil tanpa Dp free kpr,"Cilodong, Depok",Rp 800.000.000,119,,3,2,65,yes,yes,,,yes,,
https://www.lamudi.co.id/cinangka-paradisa.html,Cinangka Paradisa,"Jalan Darussa'adah Sawangan, Depok",Rp 299.000.000,50,1,2,1,30,,,,,,,
https://www.lamudi.co.id/rumah-di-jual-4-unit-terakhir-di-cimanggis-depok.html,Rumah di jual 4 unit terakhir di Cimanggis Depok,"Jl. Bakti abri Cimanggis, Depok",Rp 791.000.000,60,1,3,2,69,,yes,yes,,yes,,
https://www.lamudi.co.id/hunian-asri-bali-modern-di-kota-depok-15-menit-ke-166148509727.html,"RUMAH MURAH MODEL BALI DI KOTA DEPOK, 15 MENIT KE TOL DESARI DAN TOL JORR2.","Jalan Acing Sawangan, Depok",Rp 804.000.000,68,,3,2,56,yes,yes,yes,,yes,,
https://www.lamudi.co.id/cluster-keren-dekat-stasiun-depok.html,Cluster keren Dekat Stasiun Depok,"Jalan Taman Jaya Cipayung, Depok",Rp 330.000.000,60,1,2,1,32,,,yes,,,,
https://www.lamudi.co.id/kk135-brand-new-cluster-kawasawan-ramai-pemukiman-166783514592.html,kk135.Brand New Cluster kawasawan ramai pemukiman Strategis,"Tanah Baru Beji Depok Tanah Baru, Depok",Rp 1.112.000.000,95,1,3,2,100,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-harga-1-lantai-di-depok-1.html,Rumah 2 lantai harga 1 lantai di Depok,"Cilodong, Depok",Rp 476.000.000,40,,3,2,37,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-harga-ekonomis-16670899068.html,Rumah 2 lantai harga ekonomis,"Sawangan, Depok, Jabodetabek Sawangan, Depok",Rp 353.000.000,40,,2,2,40,,,,,,,
https://www.lamudi.co.id/rumah-minimalis-dua-lantai-jalan-raden-saleh-cuma-3-5jt-dp.html,"#RUMAH-MINIMALIS-DUA-LANTAI |JALAN-RADEN-SALEH |CUMA 3,5JT DP","jalan raya raden saleh depok Cilodong, Depok",Rp 790.000.000,65,,3,2,54,yes,yes,yes,,,,
https://www.lamudi.co.id/soft-launching-narafa-residence-166926615036.html,DIJUAL RUMAH 2 LANTAI AKSES 3 PINTU TOL DI CILANGKAP TAPOS,"Tapos Depok Cilangkap, Depok",Rp 890.000.000,62,2,3,2,74,yes,,,,,,
https://www.lamudi.co.id/rumah-dijual-dicibiong-bogor-167211780080.html,RUMAH DIJUAL DIDEPOK U-VILLE GRIYA BANJARAN ELOK(BONUS MOTOR HONDA BEAT)!!,"Jalan Cilangkap, Depok, Indonesia Cilangkap, Depok",Rp 300.000.000,61,1,2,1,36,yes,yes,,,yes,,Semi
https://www.lamudi.co.id/7-juta-dapat-rumah-di-pancoran-mas.html,7 juta dapat rumah di pancoran mas,"Mampang indah 2 Pancoran Mas, Depok",Rp 560.000.000,40,1,2,2,42,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-skandinavia-desain-kekinian-promo-bisa-dp-0-dan-disc-di-depok.html,Rumah 2 Lantai Skandinavia Desain Kekinian Promo bisa Dp 0% dan Disc di Depok,"cilodong depok Cilodong, Depok",Rp 703.000.000,74,1,3,2,54,,,,,,,
https://www.lamudi.co.id/rumah-tanpa-dp-sawangan-depok-166987287757.html,Rumah tanpa dp sawangan depok,"bedahan Sawangan, Depok",Rp 350.000.000,60,1,2,1,26,,,,,,,
https://www.lamudi.co.id/rumah-2-lantai-bali-industrial-cilodong-depok-harg-165908131612.html,"Rumah 2 Lantai Bali Industrial, Cilodong Depok, Harga sudah All In","Pancoran Mas, Depok",Rp 742.350.000,60,,3,2,60,,yes,,,,,
https://www.lamudi.co.id/rumah-murah-2-lantai-tanpa-dp-dekat-tol-juanda-di-167089342877.html,Rumah murah 2 lantai tanpa DP dekat tol Juanda di sugutamu Sukmajaya Depok,"Sugutamu Depok Sukmajaya Sukmajaya, Depok",Rp 495.000.000,52,1,2,2,40,,yes,yes,,yes,2,
https://www.lamudi.co.id/claster-gratis-sawangan-pasir-putih.html,Claster gratis sawangan pasir putih,"Sawangan, Depok",Rp 300.000.000,60,1,2,1,40,,yes,yes,,,1,
https://www.lamudi.co.id/perumahan-taman-jasmine-mas-bojongsari-depok-165847120682.html,"Perumahan Taman Jasmine Mas, Bojongsari Depok","Pondok Petir, Depok",Rp 900.000.000,81,,3,1,81,,,,,,,
https://www.lamudi.co.id/dp-suka-suka-rumah-di-bedahan-depok-harga-400-jt-a-166731989583.html,Cukup booking Fee Rp1 Jt dan Angsuran 1X Langsung KPR LB 36/LT 72,"JL.H.SULAIMAN RT 08 RW 03,BEDAHAN,DEPOK Bedahan, Depok",Rp 395.000.000,72,1,2,1,36,,yes,yes,,,,
https://www.lamudi.co.id/dijual-cepat-rumah-3-lantai-di-taman-anyelir-3-kali-mulya-depok-harga-nego.html,"Dijual cepat Rumah 3 lantai di Taman Anyelir 3 kali Mulya Depok, Harga Nego","Kalimulya, Depok",Rp 1.200.000.000,72,,3,2,140,yes,yes,yes,,yes,,
https://www.lamudi.co.id/cluster-arrafath-residence-2-grand-depok-city-jalan-kaki-ke-statsiun.html,Cluster Arrafath Residence 2 Grand depok city jalan kaki ke statsiun,"Pancoran Mas, Depok",Rp 495.000.000,70,,2,1,45,,yes,,,,,
https://www.lamudi.co.id/rumah-di-jual-pancoran-mas-depok-5-menit-pintu-tol.html,Rumah di jual Pancoran mas depok 5 menit pintu tol,"Rangkapan jaya Pancoran Mas, Depok",Rp 825.000.000,65,,3,2,72,yes,yes,yes,,yes,,
https://www.lamudi.co.id/cluster-murah-dkat-stasiun-pondok-cina-bonus100jt-tnpa-di-undi-di-margonda-depok.html,Cluster murah Dkat stasiun pondok Cina bonus100jt tnpa di undi di Margonda DEPOK,"Kemiri muka beji Depok Margonda, Depok",Rp 1.033.000.000,60,1,3,2,80,yes,yes,yes,,yes,2,
https://www.lamudi.co.id/amara-residence-sawangan-hunian-baru-dekat-tol-16611462695.html,Amara Residence Sawangan hunian Baru dekat TOL,"Sawangan, Depok",Rp 800.000.000,77,2,4,3,101,,yes,,,,2,
https://www.lamudi.co.id/rumah-depok-cimanggis-sukatani-pekapuran-2lantai-670juta.html,#rumah-depok-cimanggis-sukatani-pekapuran 2lantai 670juta,"jalan raya pekapuran Cimanggis, Depok",Rp 680.000.000,55,1,3,2,64,yes,yes,yes,,,,
https://www.lamudi.co.id/rumah-siap-huni-sukma-jaya-depok.html,rumah siap huni sukma jaya depok,"Sukmajaya, Depok",Rp 589.000.000,72,,2,1,48,,,,,,,
https://www.lamudi.co.id/rumah-kpr-murah-2-kamar-tidur-free-ac-166280055497.html,RUMAH KPR MURAH 2 KAMAR TIDUR FREE AC,"Pemda Cibinong Cilodong, Depok",Rp 494.000.000,69,1,2,1,41,yes,yes,yes,,,,
https://www.lamudi.co.id/rumah-600jt-an-di-kelapa-dua.html,Rumah 600jt an di kelapa Dua,"Kelapa Dua, Depok",Rp 693.000.000,50,,3,2,60,,,,,,,Tidak
https://www.lamudi.co.id/claster-murah-pinggir-jalan.html,Claster murah pinggir jalan,"Sawangan, Depok",Rp 250.000.000,51,1,2,1,36,,,,,,,
https://www.lamudi.co.id/rumah-minimalis-2-kamar-tidur-dinding-panel-beton-hcpi-di-pancoran-mas-depok.html,Rumah minimalis 2 kamar tidur dinding panel beton HCPI di Pancoran mas Depok,"Jalan harapan Cipayung Jaya, Depok",Rp 654.500.000,73,1,2,1,45,,yes,yes,,,,
https://www.lamudi.co.id/rumah-siap-huni-berkualitas-diskon-khusus-maret-bojongsari-depok.html,"Rumah Siap Huni Berkualitas Diskon Khusus Maret, Bojongsari Depok","Green Arco 3, Jalan Durian, Bojongsari Bojongsari, Depok",Rp 575.000.000,108,,2,1,40,,yes,yes,,,,
