rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_AC,rumah_taman,rumah_keamanan,rumah_balcony,rumah_fully_furnished,rumah_kolam_renang
https://www.lamudi.co.id/banjaran-grand-residence-rumah-2-lantai-di-depok-b-166046344334.html,BANJARAN GRAND RESIDENCE rumah 2 lantai di Depok Bogor,"Tapos, Depok",Rp 495.500.000,2,1,45,42,,,,yes,,,,
https://www.lamudi.co.id/di-jual-rumah-siap-huni-lokasi-startegis-cipayung-kota-depok.html,Di Jual Rumah Siap Huni Lokasi Startegis Cipayung Kota Depok,"Kelurahan cipayung jaya Rt 01 Rw 06 Kec Cipayung Kota Depok Cipayung Jaya, Depok",Rp 250.000.000,2,1,52,62,,,,,,,,
https://www.lamudi.co.id/dijual-rumah-di-cinere-residence-50-75.html,Dijual Rumah Di Cinere Residence - 50/75,"Cinere Residence Blok E1 No.7, Cinere, Depok",Rp 620.000.000,2,1,50,75,2,1,,,,,,
https://www.lamudi.co.id/rumah-murah-ready-stok-kpr-pribadi-dan-cash-bertahap-di-cluster-azwa-resident-sawangan-depok.html,rumah murah ready stok kpr pribadi dan cash bertahap di cluster azwa resident sawangan depok,"Sawangan, Depok",Rp 185.000.000,2,1,36,42,,,,yes,,,,
https://www.lamudi.co.id/dijual-rumah-2-lantai-dgn-nuansa-tropis-dekat-tol-165883861613.html,Dijual Rumah 2 lantai dgn Nuansa Tropis dekat tol cibubur depok,"Cimanggis Depok Cimanggis, Depok",Rp 790.000.000,3,2,68,70,,,yes,yes,yes,yes,,
https://www.lamudi.co.id/dijual-cluster-tahap-6-700jutaan-all-in-dp-10-cima-165883936813.html,Dijual Cluster Tahap 6 - 700jutaan ALL IN DP 10% Cimanggis Depok,"Pondok Cibubur radar Auri Cimanggis Depok Cimanggis, Depok",Rp 799.000.000,3,2,68,65,,,yes,yes,yes,yes,,
https://www.lamudi.co.id/rumah-milenial-disain-keren-di-dekat-exit-tol-desari-pancoranmas-depok.html,RUMAH MILENIAL DISAIN KEREN DEKAT TOL SAWANGAN PANCORANMAS DEPOK,"Pancoran Mas, Depok",Rp 499.000.000,2,1,40,72,1,,yes,yes,yes,,,
https://www.lamudi.co.id/rumah-mewah-minimalis-dekat-pondok-cabe-cinere-dep-165851795311.html,Rumah mewah minimalis dekat pondok cabe cinere depok,"Jl acing Sawangan, Depok",Rp 804.400.600,3,2,56,68,2,,yes,yes,yes,yes,,
https://www.lamudi.co.id/rumah-etnik-bergaya-dan-arsitektur-jepang-mirai-pa-166987145657.html,RUMAH ETNIK BERGAYA DAN ARSITEKTUR JEPANG MIRAI PANCORAN MAS,"Pancoran Mas, Depok",Rp 725.000.000,2,1,44,68,,,,,,,,
https://www.lamudi.co.id/dijual-rumah-2-lantai-siap-huni-di-cilodong-depok.html,Dijual rumah 2 lantai siap huni di Cilodong depok,"Cilodong, Depok",Rp 1.550.000.000,4,4,200,200,2,,,,,,,
https://www.lamudi.co.id/rumah-modern-design-scandinavia-tropis-di-cinere-16675449130.html,RUMAH MODERN DESIGN SCANDINAVIA TROPIS DI CINERE,"Cinere, Depok",Rp 1.610.000.000,4,4,100,76,,,,,,,,
https://www.lamudi.co.id/trevista-hills-tipe-b-166574626042.html,Trevista Hills Tipe B,"Jl. Raya Pd. Petir No.99, Pd. Petir Bojongsari, Depok",Rp 872.500.000,2,1,45,84,1,1,,yes,yes,yes,Tidak,
https://www.lamudi.co.id/rumah-dijual-dekat-stasiun-citayam-166014475788.html,rumah dijual dekat stasiun Citayam,"Citayam, Depok",Rp 215.000.000,2,2,45,47,,,,,,,,
https://www.lamudi.co.id/claster-citra-indah-bedahan-deket-pintu-tol-sawangan.html,Claster citra indah bedahan Deket pintu tol sawangan,"Jl. H. Sulaiman kel.bedahan sawangan Depok Bedahan, Depok",Rp 275.000.000,2,1,40,60,6,,,yes,yes,,,yes
https://www.lamudi.co.id/rumah-baru-murah-18.html,Rumah Baru & Murah,"Citayam, Depok",Rp 150.000.000,2,1,35,40,,,,,,,,
https://www.lamudi.co.id/rumah-mewah-dan-berkualitas-harga-terjangkau.html,Rumah Mewah Dan Berkualitas Harga Terjangkau,"Sawangan, Depok",Rp 285.000.000,2,1,40,,,,,yes,yes,,,
https://www.lamudi.co.id/rumah-2-lantai-di-cilodong-depok-cicilan-4jt-an-167100725273.html,"Rumah 2 lantai, di CIlodong Depok cicilan 4jt-an","Jl. Albarkah Gg.H. Sinan, Jatimulya, Kec. CIlodong, Kota Depok, Jawa Barat 16413 Cilodong, Depok",Rp 700.000.000,3,2,80,80,1,,,yes,yes,yes,,
https://www.lamudi.co.id/rumah-siap-huni-di-cimanggis-depok-dekat-tol-cijago.html,DIJUAL RUMAH 2 LANTAI DI CIMANGGIS DEPOK DEKAT TOL CIJAGO,"Jl. Raya Kapitan Gas Alam Cimanggis Depok Cimanggis, Depok",Rp 895.000.000,3,2,72,60,1,2,,,yes,yes,,
https://www.lamudi.co.id/bu-harus-laku-dijual-bawah-harga-pasaran-167123044918.html,BU Harus Laku dijual bawah Harga pasaran,"Sawangan, Depok",Rp 495.000.000,2,1,45,90,,,,yes,yes,,,
https://www.lamudi.co.id/hunian-strategis-di-pusat-kota-depok-165930715457.html,HUNIAN STRATEGIS DI PUSAT KOTA DEPOK,"Tirtajaya, Sukmajaya Depok Sukmajaya, Depok",Rp 795.000.000,3,2,60,72,,,,yes,,,,
