"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_fully_furnished","rumah_luas_bangunan","rumah_AC","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_jumlah_lantai"
"https://www.lamudi.co.id/rumah-di-cinangka-dekat-toll-pamulang-pondok-cabe-167063897184.html","Rumah di Cinangka Dekat Toll Pamulang, Pondok Cabe, Jakarta Selatan","Cinangka, Depok","Rp 695.000.000","50","","3","2","","70","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dp-0-angsuran-mulai-dari-4-jt-an-flat.html","Rumah 2 lantai DP 0% angsuran mulai dari 4 jt an flat","Cilodong, Depok","Rp 800.000.000","80","","3","2","","55","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/tp135-rumah-baru-clasic-modern-luxury-dlm-komp-mew-16711896208.html","Tp135.Rumah Baru Clasic Modern Luxury dlm Komp Mewah Di Cinere Depok","Cinere Depok Cinere, Depok","Rp 2.500.000.000","110","2","4","4","","170","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-minimalis-strategis-2-lantai-di-tana-166514818898.html","Di jual Rumah Minimalis Strategis 2 Lantai Di Tanah Baru Beji Depok","Tanah Baru, Depok","Rp 700.000.000","60","1","2","2","","51","","","","","",""
"https://www.lamudi.co.id/rumah-nyaman-strategis-asri-167003558472.html","Rumah nyaman, strategis, asri","Cilodong, Depok","Rp 3.700.000.000","194","1","3","4","","120","","","","","",""
"https://www.lamudi.co.id/ready-siap-huni-tanpa-dp-0-prose-mudah-166912994163.html","ready siap huni tanpa DP 0% prose mudah","Sukmajaya, Depok","Rp 610.000.000","60","","2","1","","40","yes","yes","yes","","",""
"https://www.lamudi.co.id/best-deals-dp-15-juta-langsung-akad-bebas-biaya-surat2-siap-huni.html","BEST DEALS : DP 15 JUTA LANGSUNG AKAD Bebas biaya surat2 Siap Huni","Jl H Abdul Ghani Pabuaran Citayam Sawangan, Depok","Rp 477.424.550","72","","2","1","","40","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-dijual-di-depok-cimanggis-dekat-pintu-toll-l-165936537142.html","Rumah DIjual Di Depok Cimanggis dekat pintu Toll Lokasi Pinggir Jalan","Cimanggis, Depok","Rp 780.000.000","62","1","3","2","","50","","","","","",""
"https://www.lamudi.co.id/rumah-nyaman-strategis-asri-167003558472.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-premium-2-lantai-plus-rooftop-di-margonda-d-166613532149.html","Hunian Premium 2½ Lantai Plus Rooftop Di Margonda Depok","Margonda, Depok","Rp 1.537.000.000","66","","4","4","","100","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-cantik-di-beji-depok-167100838582.html","Dijual Rumah Cantik Di Beji Depok","Beji, Depok","Rp 1.493.500.000","72","2","3","3","","110","yes","yes","yes","","","2"
"https://www.lamudi.co.id/rumah-siap-huni-dekat-ke-grand-depok-city-dan-margonda.html","Rumah Siap Huni Dekat Ke Grand Depok City Dan Margonda","Grand depok city Sukmajaya, Depok","Rp 660.000.000","84","1","2","2","","65","","","","","",""
"https://www.lamudi.co.id/rumah-700jt-di-kelapa-dua-167107556855.html","Rumah 700jtan di Kelapa Dua","Kelapa Dua, Depok","Rp 760.000.000","70","","2","2","","80","","","","","",""
"https://www.lamudi.co.id/rumah-murah-dicilodong-bisa-kpr-pribadi-166882126618.html","Rumah murah dicilodong bisa kpr pribadi","Cilodong, Depok","Rp 350.000.000","50","","2","1","","50","","","","","",""
"https://www.lamudi.co.id/di-jual-cepat-rumah-minimalis-166737487571.html","Di jual CEPAT Rumah Minimalis","Sawangan, Depok","Rp 390.000.000","40","","2","1","","60","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-400-juta-an-167023791077.html","Rumah siap huni 400 juta-an","Cilodong, Depok","Rp 459.500.000","50","1","2","1","","40","","","","","",""
"https://www.lamudi.co.id/s01-new-cluster-2lt-type-minimalis-spek-bata-merah-166739759558.html","S01.New Cluster 2Lt type Minimalis spek bata merah Dp 0% Free biaya","Curug Bojongsari Depok Bojongsari, Depok","Rp 711.000.000","44","1","2","2","","45","","","","","",""
"https://www.lamudi.co.id/kk128-rumah-second-strategis-100m-dr-jln-raya-prop-166778625315.html","kk128.Rumah Second Strategis 100m dr jln raya propinsi ciputat Bogor","Bojongsari lama Depok Bojongsari, Depok","Rp 900.000.000","120","1","4","1","","180","","","","","",""
"https://www.lamudi.co.id/kk205-rumah-1-5-lt-ready-siap-huni-dlm-komp-akses-166799687466.html","kk205.Rumah 1,5 Lt Ready Siap Huni dlm komp Akses Jln 2mobil di Depok","Pancoran Mas Depok Pancoran Mas, Depok","Rp 1.200.000.000","107","1","3","2","","82","","","","","",""
"https://www.lamudi.co.id/jual-cepat-bu-siap-huni-166881595655.html","Jual Cepat BU Siap Huni","Cimanggis, Depok","Rp 520.000.000","72","","2","1","","50","","yes","yes","yes","",""
"https://www.lamudi.co.id/br907-dijual-rumah-siap-huni-lokasi-cluster-kalimu-166599327735.html","BR907 Dijual rumah siap huni lokasi Cluster kalimulya depok","Kalimulya Cilodong Depok Cilodong, Depok","Rp 510.000.000","70","1","2","1","","50","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-2-lantai-dalam-cluster-sawangan-depok.html","Rumah Minimalis 2 Lantai Dalam Cluster Sawangan Depok","Sawangan, Depok","Rp 625.000.000","71","","3","2","","50","","","","","","2"
"https://www.lamudi.co.id/rumah-1lantai-siap-huni-16689192335.html","Rumah 1lantai Siap Huni","Sukmajaya, Depok","Rp 670.000.000","90","","2","1","","45","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/ready-stock-cluster-minimalis-selangkah-ke-pusat-kota-depok-dp-15-juta.html","Ready stock cluster minimalis selangkah ke pusat kota Depok DP 15 juta","Jl H Abdul Ghani Pabuaran Citayam Sawangan, Depok","Rp 467.272.500","71","","2","1","","40","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-hunian-asri-bebas-banjir-one-gate-sistem-166262910146.html","Rumah hunian asri bebas banjir one gate sistem","Bedahan, Depok","Rp 450.000.000","70","","2","1","","50","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/rumah-dua-lantai-murah-16691978641.html","Rumah Dua Lantai Murah","Sukmajaya, Depok","Rp 290.000.000","25","","2","2","","40","","","","","",""
"https://www.lamudi.co.id/harga-promo-akhir-tahun-167049289729.html","HARGA PROMO AKHIR TAHUN","Jalan Muhasyim 1, Depok 16434, Indonesia Pancoran Mas, Depok","Rp 350.000.000","60","60","2","1","","40","","yes","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-ready-stock-berikut-isinya-bayar-5-jt-lokasi-cilodong-depok.html","Dijual rumah ready stock berikut isinya bayar 5 jt lokasi cilodong depok","Jln. Kemang Belakang Cilodong Cilodong, Depok","Rp 400.000.000","53","1","2","1","","40","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-strategis-depok-166254474773.html","Di Jual rumah strategis DEPOK","jl. Tole Iskandar H.japat Sukmajaya Depok timur Sukmajaya, Depok","Rp 875.000.000","145","2","3","2","","125","","","","","",""
"https://www.lamudi.co.id/town-house-modern-murah-dp-ringan-gratis-biaya-pengurusan-shm.html","Town House Modern Murah DP Ringan Gratis Biaya Pengurusan SHM","Jalan Pekapuran Cimanggis, Depok","Rp 783.000.000","2000","1","3","2","","55","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/rumahmurahdepok-dekat-pintu-tol-cimanggis-promo.html","#rumahmurahdepok-dekat pintu tol cimanggis PROMO","jalan raya tapos Cimanggis, Depok","Rp 500.000.000","62","1","2","1","","40","yes","yes","yes","","",""
"https://www.lamudi.co.id/jual-cepat-white-house-2-siap-huni-nuansa-classic-eropa-1.html","JUAL CEPAT WHITE HOUSE 2 SIAP HUNI NUANSA CLASSIC EROPA","Tapos, Depok","Rp 735.000.000","50","","3","2","","80","","","","","",""
"https://www.lamudi.co.id/cluster-murah-350jt-di-pitara-depok.html","CLUSTER murah 350jt di Pitara Depok","Pitara Depok Pancoran Mas, Depok","Rp 350.000.000","57","1","2","1","","45","","yes","yes","","","1"
"https://www.lamudi.co.id/op82-rumah-non-cluster-cocok-tuk-tinggal-atau-usah-166877931968.html","Op82.Rumah Non Cluster Cocok tuk tinggal atau Usaha siap Huni di Depok","DUren Seribu Depok Duren Seribu, Depok","Rp 465.000.000","70","1","2","1","","40","","","","","",""
"https://www.lamudi.co.id/rumah-cantik-tanpa-dp-dekat-stasiun-krl.html","Rumah Cantik Tanpa DP dekat Stasiun KRL","Citayam, Depok","Rp 457.000.000","","","2","1","","40","","","","","","40"
"https://www.lamudi.co.id/rumah-murah-minimalis-mutiara-citayam-dekat-stasiun-citayam-2.html","Rumah Murah Minimalis MUTIARA CITAYAM Dekat Stasiun Citayam","jl.kp bambon , ragajaya , citayam-depok Cipayung, Depok","Rp 440.000.000","71","1","2","1","","40","","yes","yes","","",""
