"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_kolam_renang","rumah_balcony","rumah_keamanan","rumah_lahan_parkir","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/dijual-rumah-murah-promo-200jt-an-saja-free-kitchen-set-dicitayam.html","DIJUAL RUMAH MURAH PROMO 200JT AN SAJA FREE KITCHEN SET DICITAYAM","Jl.raya nanggerang citayam cipayung Citayam, Depok","Rp 200.000.000","2","1","30","50","","yes","","","yes","1","",""
"https://www.lamudi.co.id/dijual-rumah-non-cluster-di-rangkapanjaya-depok-ha-16607375139.html","DIJUAL RUMAH NON CLUSTER DI RANGKAPANJAYA DEPOK HANYA 5 MEMNIT KE TOL SAWANGAN","Pancoran Mas, Depok","Rp 420.000.000","3","2","80","102","yes","","","","","","1",""
"https://www.lamudi.co.id/citayam-casa-de-royal-akses-jalan-raya-cicilan-2-j-166676449248.html","CITAYAM CASA DE ROYAL - AKSES JALAN RAYA, CICILAN 2 JUTAAN","Citayam, Depok","Rp 486.000.000","2","1","42","60","","","","","","1","",""
"https://www.lamudi.co.id/rumah-murah-150jt-masuk-mobil-di-kota-depok-166791615515.html","rumah murah 150jt masuk mobil di kota depok","Pancoran Mas, Depok","Rp 150.000.000","2","1","30","35","yes","yes","","","","","",""
"https://www.lamudi.co.id/pitara-rumah-dekat-stasiun-depok-167281483717.html","Pitara, Rumah dekat stasiun depok","Pancoran Mas, Depok","Rp 690.000.000","2","1","45","68","yes","yes","","","","","",""
"https://www.lamudi.co.id/cilodong-rumah-mewah-tanpa-dp-167281482675.html","Cilodong, rumah mewah tanpa dp","Pancoran Mas, Depok","Rp 995.000.000","3","3","100","95","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-tanahnya-90an-ready-stock-siap-di-hun-16728148292.html","Pancoran mas,tanahnya 90an ready stock siap di huni","Pancoran Mas, Depok","Rp 780.000.000","3","2","70","91","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-tanpa-dp-dekat-stasiun-citayam-167281483281.html","Sawangan, rumah tanpa dp dekat stasiun citayam","Sawangan, Depok","Rp 450.000.000","2","1","45","60","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-deket-tol-bata-merah-167281483092.html","Pancoran mas, rumah Deket tol bata merah","Cilodong, Depok","Rp 850.000.000","3","2","70","85","yes","yes","","","","","",""
"https://www.lamudi.co.id/pancoran-mas-bertabur-bonus-item-perabotan-rumah-t-167281478489.html","Pancoran mas, bertabur bonus item perabotan rumah tangga","Pancoran Mas, Depok","Rp 865.000.000","3","3","80","50","yes","yes","","","","","",""
