"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_keamanan","rumah_lahan_parkir","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-klasik-keren-166796479479.html","Rumah klasik keren","Bojongsari, Depok","Rp 1.500.000.000","3","2","88","79","","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-harga-murah-lokasi-dekat-dari-tol-dan-166175782186.html","Rumah Mewah Lokasi Dekat dari Tol dan LRT Cibubur Legalitas Clear","JL MANDIRI CIMANGGIS, DEPOK Cimanggis, Depok","Rp 2.070.000.000","3","2","96","153","yes","yes","yes","2","yes","2","yes",""
"https://www.lamudi.co.id/rumah-2-lantai-di-cluster-terdekat-dengan-lrt-dan-166176635483.html","Rumah 2 Lantai di Cimanggis Terdekat Dengan LRT dan Tol Cibubur.","JL MANDIRI HARJAMUKTI CIMANGGIS DEPOK CIMANGGIS, DEPOK. INDONESIA Cimanggis, Depok","Rp 2.042.080.000","3","2","96","150","yes","yes","yes","2","yes","2","yes",""
"https://www.lamudi.co.id/jual-perumahan-di-cimanggis-depok-dekat-taman-wila-166178608453.html","Perumahan di Cimanggis Depok Dekat Taman Wiladatika Bebas Banjir.","JLN MANDIRI NO 33 CIMANGGIS KOAT DEPOK CIMANGGIS, DEPOK Cimanggis, Depok","Rp 1.929.580.000","3","2","72","150","yes","yes","yes","2","","","yes",""
"https://www.lamudi.co.id/rumah-2-lantai-siap-huni-di-cimanggis-depok-dekat-16617899404.html","Rumah 2 Lantai Siap Huni Di Cimanggis Depok Dekat LRT dan Tol Cibubur.","JL MANDIRI CIMANGGIS, DEPOK Cimanggis, Depok","Rp 1.526.200.000","3","2","90","90","yes","yes","yes","2","yes","","",""
"https://www.lamudi.co.id/rumah-siap-huni-bisa-kpr-di-tapos-depok-dekat-jala-166746569514.html","Rumah siap huni bisa kpr di tapos depok dekat jalan tol","Tapos, Depok","Rp 899.000.000","2","1","105","60","","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-halaman-luas-di-cilodong-dekat-sta-16704463705.html","Rumah siap huni halaman luas di cilodong dekat stasiun depok","Cilodong, Depok","Rp 780.000.000","3","1","58","98","","","","","","","",""
"https://www.lamudi.co.id/rumah-dengan-tanah-luas-di-sawangan-depok-cuma-900-167083182359.html","Rumah dengan tanah luas di sawangan depok cuma 900an","Cinangka, Depok","Rp 950.000.000","3","1","85","148","","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-pinggir-jalan-dekat-pusat-kota-depok-dan-fasilitas-lengkap.html","Rumah MEWAH Pinggir Jalan Dekat Pusat Kota Depok dan Fasilitas Lengkap","Jl. Boulevard Grand Depok City Jl. Ruko Anggrek 1 No.21, Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16412, Indonesia Depok, Depok","Rp 1.300.000.000","4","3","90","86","","yes","yes","1","","2","",""
"https://www.lamudi.co.id/rumah-mewah-2lantai-akses-pinggir-jalan-16660600435.html","rumah mewah 2lantai akses pinggir jalan","Cilodong, Depok","Rp 1.050.000.000","3","3","120","86","yes","","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-dp-0-dekat-stasiun-akses-jalan-raya-166611411298.html","Rumah DP 0% dekat stasiun akses jalan raya","Cilodong, Depok","Rp 1.100.000.000","3","3","120","90","yes","","yes","","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-mewah-tanpa-dp-dekat-stasiun-166631520728.html","dijual rumah mewah Tanpa DP dekat stasiun","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","","","","yes","","",""
"https://www.lamudi.co.id/rumah-minimalis-tanpa-dp-0-didepok-166632258849.html","Rumah minimalis Tanpa DP 0% didepok","Kalimulya, Depok","Rp 735.000.000","2","2","50","72","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/dijual-rumah-1lantai-minimalis-tanpa-dp-didepok-166642338043.html","dijual Rumah 1lantai minimalis Tanpa DP didepok","Cilodong, Depok","Rp 735.000.000","2","2","50","72","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-ready-dekat-sekolah-166675901293.html","rumah ready dekat sekolah.","Cilodong, Depok","Rp 670.000.000","2","1","50","92","yes","yes","","","","","",""
"https://www.lamudi.co.id/townhouse-rumah-murah-kpr-tanpa-dp-0-166678973121.html","Townhouse rumah murah KPR Tanpa DP 0%","Kalimulya, Depok","Rp 685.000.000","2","2","60","90","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-1lantai-siap-huni-tanpa-dp-166763624685.html","rumah 1lantai siap huni Tanpa DP","Cilodong, Depok","Rp 685.000.000","2","2","60","90","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-cicilan-4jtan-tanpa-dp-166788139951.html","Rumah siap Huni cicilan 4jtan Tanpa DP","Cilodong, Depok","Rp 685.000.000","2","2","60","90","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-2lantai-tanpa-dp-mewah-166789804467.html","Rumah 2Lantai Tanpa DP mewah","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-gratis-ac-canopy-166821588314.html","Rumah tanpa DP gratis AC & Canopy","Cilodong, Depok","Rp 925.000.000","3","3","80","81","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-gratis-canopy-dan-ac-166822467348.html","Rumah Tanpa DP gratis Canopy dan AC","Sukmajaya, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-mewah-didepok-tanpa-dp-166859177061.html","Rumah Mewah didepok Tanpa DP","Cilodong, Depok","Rp 900.000.000","3","3","85","75","yes","yes","yes","","yes","","",""
