"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_jumlah_lantai","rumah_keamanan","rumah_taman","rumah_AC","rumah_balcony","rumah_lahan_parkir","rumah_fully_furnished","rumah_kolam_renang"
"https://www.lamudi.co.id/rumah-murah-depok-pekapuran-cicilan-5jt-an-bank-syariah.html","#RUMAH-MURAH-DEPOK-Pekapuran-cicilan 5jt-an Bank Syariah","jalan raya pekapuran Cimanggis, Depok","Rp 499.000.000","2","1","60","60","","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-murah-2-lantai-1-7m-dgn-luas-tanah-160m2-di-graha-cinere-depok.html","Rumah murah 2 Lantai 1,7M dgn luas tanah 160m² di graha Cinere Depok","Graha Cinere Depok Cinere, Depok","Rp 1.700.000.000","4","4","134","160","2","yes","yes","","yes","1","",""
"https://www.lamudi.co.id/rmh-second-di-citayem-166005188657.html","Rmh second di citayem.,.","Citayam, Depok","Rp 375.000.000","2","2","60","72","","","yes","","","","",""
"https://www.lamudi.co.id/rumah-cantik-banget-166821222093.html","rumah cantik banget","Cipayung, Depok","Rp 190.000.000","2","1","30","40","","yes","","","","","",""
"https://www.lamudi.co.id/cluster-minimalis-dengan-harga-terjangkau.html","Cluster minimalis dengan Harga Terjangkau","Cibubur kalimanggis Tapos, Depok","Rp 430.000.000","2","1","31","52","","yes","yes","yes","","1","",""
"https://www.lamudi.co.id/br-931-perumahan-grand-depok-city-sektor-melati-siap-huni.html","BR 931 Perumahan Grand Depok City Sektor Melati siap huni.","Sektor Melati Grand Depok City Cilodong, Depok","Rp 600.000.000","2","1","45","72","","yes","yes","","","1","",""
"https://www.lamudi.co.id/cluster-dijual-siap-huni-dekat-jalan-raya-sawangan.html","Cluster dijual siap huni dekat jalan raya sawangan","Tanah Baru, Depok","Rp 654.500.000","2","1","45","73","","","yes","yes","","1","",""
"https://www.lamudi.co.id/rumah-dijual-296.html","RUMAH DIJUAL","Jln. H. Rosyid Cinere, Depok","Rp 2.000.000.000","5","3","350","280","2","","","","","2","",""
"https://www.lamudi.co.id/rumah-murah-siap-huni-di-citayam.html","Rumah Murah Siap Huni Di Citayam","jl. kampung bambon, Ragajaya , Bojonggede Citayam, Depok","Rp 380.400.000","2","1","36","60","","yes","yes","","","1","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-minimalis-kemang-sukmajaya-depok-ready-stock.html","JUAL RUMAH 2 LANTAI MINIMALIS KEMANG SUKMAJAYA DEPOK READY STOCK","Sukmajaya, Depok","Rp 840.000.000","3","2","80","80","","yes","yes","","","1","",""
"https://www.lamudi.co.id/jual-rumah-2-lantai-minimalis-cimanggis-depok-bebas-biaya-biaya.html","JUAL RUMAH 2 LANTAI MINIMALIS, CIMANGGIS DEPOK, BEBAS BIAYA BIAYA","Bhakti Abri Cimanggis, Depok","Rp 480.000.000","2","2","48","42","","yes","","","","1","",""
"https://www.lamudi.co.id/cluster-mewah-2-lantai-di-depok.html","Cluster mewah 2 lantai di depok","Kelapa Dua, Depok","Rp 1.100.000.000","3","2","60","86","","","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-amara-residence-sawangan-165958633376.html","Rumah Dijual Amara Residence Sawangan","Jl.Haji wahab cinangka sawangan Depok Jawa Barat Indonesia Sawangan, Depok","Rp 980.000.000","4","3","101","77","","yes","yes","yes","yes","2","",""
"https://www.lamudi.co.id/umah-ready-bojongsari-kpr-tanpa-dp-5-jt-booking-fee-jamin-akad-buktikan.html","umah Ready Bojongsari KPR tanpa DP, 5 Jt Booking Fee, Jamin Akad, Buktikan!","Jalan Raya Pengasinan, Sawangan, Depok Bojongsari, Depok","Rp 570.000.000","2","1","40","108","","yes","yes","yes","","2","",""
"https://www.lamudi.co.id/rumah-dijual-296.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/br-931-perumahan-grand-depok-city-sektor-melati-siap-huni.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/cluster-guava-garden-cash-or-kpr-dicitayam-166253885111.html","Cluster Guava Garden, Cash Or KPR dicitayam","jl. susukkan duren baru Citayam, Depok","Rp 400.000.000","2","1","40","66","","yes","yes","","","","",""
"https://www.lamudi.co.id/rmh-second-di-citayem-166005188657.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-cantik-jalan-cempaka-shm-dan-dibantu-167092783425.html","Dijual Rumah Cantik Jalan Cempaka SHM Dan Dibantu KPR","Cinangka, Depok","Rp 950.000.000","3","1","85","148","","yes","yes","yes","yes","","","yes"
"https://www.lamudi.co.id/rumah-2-lantai-di-kalimulya-akses-gdc-dekat-stasiu-166760037064.html","Rumah 2 Lantai di Taman Anyelir Kalimulya Dekat Stasiun Tol Depok","Kalimulya, Depok","Rp 950.000.000","3","2","160","72","","","","","","1","",""
"https://www.lamudi.co.id/rumah-2-lantai-cluster-premium-margonda-pusat-kota-165901261414.html","RUMAH 2 LANTAI CLUSTER PREMIUM MARGONDA PUSAT KOTA DEPOK, DP 10%","Jl Margonda Raya Depok Margonda, Depok","Rp 1.256.400.000","3","2","61","87","","yes","yes","","yes","1","",""
"https://www.lamudi.co.id/rumah-2-lt-siap-huni-pinggir-jln-2-mbl-dkt-tol-busway-cibubur-dpn-masjid-besar.html","Rumah 2 Lt Siap Huni Pinggir Jln 2 Mbl dkt TOL & Busway Cibubur,Dpn Masjid besar","Cimanggis, Depok","Rp 1.050.000.000","3","2","86","65","","yes","","yes","yes","1","",""
"https://www.lamudi.co.id/rumahdualantaidepok-deket-tol-cimanggis-cicilan-4-8-juta-an.html","#rumahdualantaiDepok-deket tol cimanggis cicilan 4,8 juta-an","jalan raya pekapuran Cimanggis, Depok","Rp 700.000.000","3","1","54","60","","yes","yes","yes","yes","","","yes"
"https://www.lamudi.co.id/rumah-dijual-di-beji-second-masih-bagus-dekat-tol-cijago.html","Rumah dijual di Beji, second masih bagus dekat tol cijago","Beji, Depok","Rp 1.650.000.000","3","2","103","204","","","","","","1","",""
"https://www.lamudi.co.id/rumah-murah-di-citayam-166381748923.html","RUMAH MURAH DI CITAYAM","kampung baru Babakan , DS.Ragajaya , bojong gede , kab.bogor Citayam, Depok","Rp 345.000.000","2","1","36","60","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-0-1.html","Rumah luas banget bisa cash & KPR","Sukmajaya, Depok","Rp 788.000.000","2","2","70","120","","","yes","","","","",""
"https://www.lamudi.co.id/rumah-mewah-ala-bali-di-kota-depok-dekat-ke-tol-jo-166375304282.html","Hunian Asri Ala Bali Di Selatan Jakarta, 30 Menit ke Pondok Indah Mall.","Sawangan, Depok","Rp 749.000.000","3","2","56","68","","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/tr137-hunian-modern-mewah-strategis-di-tanah-baru-166748658363.html","Tr137.Hunian Modern Mewah Strategis di Tanah baru Depok nempel Jaksel","Tanah Baru Beji Depok Tanah Baru, Depok","Rp 2.300.000.000","5","5","168","127","","","","","","2","",""
"https://www.lamudi.co.id/mus-rumah-minimalis-modern-citayam-ready-stock-dep-167006708856.html","Mus.Rumah Minimalis Modern Citayam Ready Stock Depok Promo Dp 0%","Citayam Depok Citayam, Depok","Rp 516.600.000","2","1","40","76","","","","","","1","",""
"https://www.lamudi.co.id/dijual-rumah-di-cinere-15-menit-ke-toll-166141603736.html","Dijual Rumah di Cinere 15 Menit Ke Toll","Cinere Cinere, Depok","Rp 800.000.000","4","3","100","90","2","yes","yes","yes","yes","2","",""
"https://www.lamudi.co.id/rumah-murah-dijual-daerah-sawangan-bedahan-depok.html","rumah murah dijual daerah sawangan Bedahan Depok","Sawangan, Depok","Rp 575.000.000","2","1","42","84","","","yes","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-165877534667.html","rumah siap huni","Jln smpn 10 bedahan sawangan depok Bedahan, Depok","Rp 280.000.000","2","1","40","70","","yes","","","","1","",""
"https://www.lamudi.co.id/rumah-murah-mewah-nempel-gdc-dekat-alun2-hanya-200-jutaan.html","Rumah Murah Mewah Nempel GDC Dekat Alun2 Hanya 200 Jutaan","Jalan Mandor Samin Cilodong Depok Cilodong, Depok","Rp 200.000.000","1","1","24","26","","","","","","","",""
"https://www.lamudi.co.id/jual-tanah-bonus-15-kamar-kost-di-depok-nempel-kfc-margonda.html","JUAL CEPAT 15 KAMAR KOST DI DEPOK NEMPEL KFC MARGONDA","Margonda, Depok","Rp 12.750.000.000","10","5","500","1500","","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-cluster-griya.html","Dijual rumah cluster griya","Depok","Rp 1.400.000.000","3","3","164","324","","","","","","","",""
"https://www.lamudi.co.id/townhouse-mewah-luas-terjangkau-3.html","TownHouse Mewah Luas Terjangkau 3","Rangkapan Jaya Baru Sawangan, Depok","Rp 1.350.000.000","5","4","","130","","","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-didalam-townhouse-lokasi-cinere.html","rumah dijual didalam townhouse lokasi cinere","Cinere, Depok","Rp 1.990.000.000","4","4","200","110","","","","","","1","",""
"https://www.lamudi.co.id/ad210a-hunian-desain-minimalis-kelapa-dua-tree-ele-166813045595.html","Ad210A.Hunian Desain minimalis Kelapa Dua Tree Elegan Dgn Promo Depok","Kelapa Dua depok Kelapa Dua, Depok","Rp 1.690.400.000","3","2","85","75","","","","","","1","",""
"https://www.lamudi.co.id/rumah-murah-bebas-banjir-13.html","Rumah murah bebas banjir","Depok, Depok","Rp 260.000.000","2","1","36","50","1","","","","","","",""
"https://www.lamudi.co.id/cluster-mewah-dp-0.html","Cluster mewah DP 0%","Cilodong, Depok","Rp 735.000.000","2","2","80","82","","","","","","","",""
"https://www.lamudi.co.id/rumah-baru-modern-2-lantai-dapat-kitchen-set-di-se-166081369996.html","Rumah dijual di beji rumah Modern 2 Lantai dapat Kitchen Set","Amara Residence Sawangan Beji, Depok","Rp 900.000.000","3","3","78","101","2","yes","yes","yes","yes","1","",""
"https://www.lamudi.co.id/dijual-rumah-di-bsd-lokasi-dekat-pintu-toll-166142219941.html","Dijual Rumah di margonda dalam cluster yang nyaman","https://youtu.be/FODz4xHES-Q Margonda, Depok","Rp 900.000.000","3","3","78","101","2","yes","yes","yes","yes","1","",""
"https://www.lamudi.co.id/jual-rumah-baru-2-lt-tanpa-di-cilodong-depok.html","JUAL: RUMAH BARU 2 LT. TANPA DI CILODONG, DEPOK","Cilodong, Depok","Rp 1.231.000.000","3","2","72","90","","","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-kukusan-beji-depok-siap-huni-dekat-166653344510.html","Rumah Dijual Di Kukusan Beji Depok Siap Huni Dekat Tol Kukusan UI","Kukusan, Depok","Rp 1.100.000.000","3","2","120","115","","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/terlaris-rumah-cantik-dijual-citayam-dekat-stasiun-166693605424.html","TERLARIS RUMAH CANTIK DIJUAL CITAYAM DEKAT STASIUN DAN TOL","Jalan Raya Citayam, Bogor Kabupaten 16926, Indonesia Citayam, Depok","Rp 215.000.000","2","1","40","60","","yes","yes","","yes","2","",""
"https://www.lamudi.co.id/promo-ngabisin-unit-booking-sekarang-kpr-dibantu-s-166737456926.html","promo ngabisin unit, booking sekarang KPR dibantu sampai akad","Kalimulya, Depok","Rp 652.000.000","2","2","60","87","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lt-di-gdc-depok-harga-dibawah-pasar-16596806463.html","Rumah Mewah 2 lt di GDC Depok, harga dibawah pasar, DP 0%","Kalimulya, Depok","Rp 1.185.000.000","3","2","","","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-pancoran-mas-depok-dekat-tol.html","Di jual rumah Pancoran mas Depok dekat tol","Pancoran mas Rangkapan Jaya, Depok","Rp 940.000.000","3","3","120","88","","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-depok-2-menit-ke-taman-herbal-insani-dp-0-fr-166304988988.html","Rumah Depok 2 Menit ke Taman Herbal Insani DP 0 Free Biaya Surat","jl.duren seribu Bojongsari, Depok","Rp 525.000.000","2","1","36","66","","","yes","","","1","",""
"https://www.lamudi.co.id/rumah-siap-huni-mega-cinere-area-8.html","Rumah Siap Huni Mega Cinere Area","Cinere, Depok","Rp 5.000.000.000","7","5","650","440","2","","","","","1","",""
"https://www.lamudi.co.id/br-951-rumah-dijual-siap-huni-bukit-nuvo-depok-jawa-barat.html","BR 951 Rumah dijual siap huni bukit nuvo depok jawa barat.","depok jawa barat Depok, Depok","Rp 1.800.000.000","5","5","250","150","","yes","","yes","","2","",""
"https://www.lamudi.co.id/dijual-rumah-cantik-rapih-terawat-siap-huni-di-dep-166393030713.html","Dijual rumah cantik rapih terawat siap huni di Depok -8975- DR","Cilodong, Depok","Rp 2.800.000.000","4","3","235","200","","","","","","","",""
"https://www.lamudi.co.id/rumah-cicilan-3-jutaan-tanpa-dp-3.html","RUMAH CICILAN 3 JUTAAN TANPA DP","jl.h husin kalimulya kota depok Kalimulya, Depok","Rp 530.000.000","2","1","45","66","1","yes","yes","yes","","1","",""
"https://www.lamudi.co.id/rumah-siap-huni-dp-0-di-depok.html","RUMAH SIAP HUNI DP 0% DI DEPOK","JL.H HUSIN KALIMULYA KOTA DEPOK Sukmajaya, Depok","Rp 530.000.000","2","1","45","66","","yes","yes","yes","","1","",""
"https://www.lamudi.co.id/mewah-2lt-unit-terbatas-166789608418.html","MEWAH 2LT UNIT TERBATAS","Cimanggis, Depok","Rp 985.000.000","3","2","84","72","","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-pancoranmas-depok-166886372679.html","RUMAH 2 LANTAI PANCORANMAS DEPOK","Jalan Pitara Raya, Depok 16436, Indonesia Pancoran Mas, Depok","Rp 800.000.000","3","2","70","75","","yes","yes","","","2","",""
"https://www.lamudi.co.id/rumah-murah-dekat-stasiun-depok-baru-166789380049.html","RUMAH MURAH DEKAT STASIUN DEPOK BARU","Jalan Raya Cipayung, Depok 16441, Indonesia Depok","Rp 250.000.000","2","1","36","60","","yes","yes","yes","","1","",""
"https://www.lamudi.co.id/jual-rumah-modern-lokasi-strategis-kpr-mulai-dari-166667087744.html","Jual Rumah Modern Lokasi Strategis, KPR Mulai dari 500jt DP 0%","Jalan Masjid Baiturohman, Depok 16421, Indonesia Kalimulya, Depok","Rp 584.000.000","3","2","46","60","","yes","yes","","","1","",""
"https://www.lamudi.co.id/hunian-termewah-tanpa-dp-0-siap-huni-166801601837.html","hunian termewah tanpa DP 0% siap huni","Depok, Depok","Rp 995.000.000","3","3","100","95","","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/cluster-minimalis-2-lt-di-rangkapan-jaya-depok-dekat-pintu-tol-sawangan-1-4-m-an-1.html","Cluster Minimalis 2 Lt di Rangkapan Jaya Depok Dekat Pintu Tol Sawangan 1,4 M an","Rangkapan Jaya, Depok","Rp 1.410.000.000","4","3","130","98","2","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-dengan-halaman-luas-lengkap-dengan-kolam-renang.html","Rumah Mewah Dengan Halaman Luas Lengkap Dengan Kolam Renang","Cimanggis, Depok","Rp 6.500.000.000","8","4","","600","600","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-bebas-banjir-harga-all-in-n-167022370598.html","Dijual Rumah siap Huni Bebas banjir Harga All in Nego Bisa KPR","Limo, Depok","Rp 1.500.000.000","4","3","150","151","","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-prestige-2-sawangan-dengan-gaya-modren-165988607673.html","Rumah murah Prestige 2 Sawangan dengan Gaya Modren dan Minimalis","Jl. Manggis, Bojongsari Lama, Kec. Sawangan, Kota Depok Sawangan Baru, Depok","Rp 629.000.000","3","1","52","60","","","","","","","",""
"https://www.lamudi.co.id/rumah-3-lantai-depok-167030600386.html","RUMAH 3 LANTAI DEPOK","Jalan Merdeka Timur, Depok 16417, Indonesia Sukmajaya, Depok","Rp 679.000.000","4","2","60","45","","yes","yes","yes","yes","1","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-perumahan-taman-tanah-baru-167090720676.html","Dijual Rumah Siap Huni Perumahan Taman Tanah Baru Bebas Banjir","Beji, Depok","Rp 1.680.000.000","3","1","103","133","","yes","yes","","yes","1","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-hanya-700-jutaan-di-kalimulya-166800799527.html","Rumah baru 2 lantai hanya 700 jutaan di kalimulya Depok","Kalimulya, Depok","Rp 780.000.000","3","2","88","84","","yes","yes","","","","",""
"https://www.lamudi.co.id/rumah-murah-sawangan-depok-167146867792.html","Rumah Murah Sawangan Depok","Pasirputih, Sawangan, Depok Sawangan, Depok","Rp 235.000.000","2","1","30","50","","yes","yes","","","1","",""
"https://www.lamudi.co.id/rumah-dp-0-dekat-jakarta-daerah-depok-167108730666.html","Rumah DP 0% dekat Jakarta daerah Depok","Kelapa Dua, Depok","Rp 900.000.000","2","2","82","51","","","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-full-dekat-stasiun-depok.html","rumah 2 lantai full dekat stasiun depok","JL. ARIF RAHMAN HAKIM Pancoran Mas, Depok","Rp 950.000.000","4","3","145","156","","","","","","","",""
"https://www.lamudi.co.id/br-948-dijualrumah-siap-huni-lokasi-perumahan-grand-depok-city.html","BR 948 DijualRumah siap huni lokasi perumahan grand depok city","grand depok city Cilodong, Depok","Rp 880.000.000","2","1","36","90","","yes","yes","","","1","",""
"https://www.lamudi.co.id/cluster-dekat-stasiun-khusus-muslim-166787883825.html","Cluster Dekat Stasiun (Khusus Muslim)","Jalan Taman Jaya Depok Cipayung Cipayung, Depok","Rp 190.000.000","2","1","30","40","","yes","yes","","","1","",""
"https://www.lamudi.co.id/rumah-murah-tanpa-dp-166227434841.html","RUMAH MURAH TANPA DP","JL.MANDOR DAMI KALIMULYA KOTA DEPOK Beji, Depok","Rp 720.000.000","2","2","60","90","1","yes","yes","yes","","1","",""
"https://www.lamudi.co.id/rumah-cantik-terawat-posisi-hook-di-perumahan-sawa-166255872542.html","RUMAH CANTIK TERAWAT POSISI HOOK DI PERUMAHAN SAWANGAN DEPOK LOKASI STRATEGIS","Sawangan, Depok","Rp 850.000.000","2","1","54","125","","yes","yes","yes","","2","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-183.html","DIJUAL RUMAH SIAP HUNI","Depok","Rp 580.000.000","2","1","57","78","","","","","","","",""
"https://www.lamudi.co.id/cukup-boking-saja-free-semua-biaya-surat-surat-16602506409.html","Cukup boking saja free semua biaya surat surat","Beji, Depok","Rp 900.000.000","3","3","65","70","","","","","","","",""
"https://www.lamudi.co.id/strategis-dan-siap-huni-166769062283.html","Strategis dan Siap huni","Jalan Raya Curug Agung Depok, Depok 16426, Indonesia Tanah Baru, Depok","Rp 2.300.000.000","4","4","168","127","","","","","","2","",""
"https://www.lamudi.co.id/rumah-murah-lokasi-strategis-bisa-kpr-pribadi-sawa-167169024977.html","RUMAH MURAH LOKASI STRATEGIS BISA KPR PRIBADI SAWANGAN DEPOK","Bedahan Sawangan Depok Pancoran Mas, Depok","Rp 272.000.000","2","1","46","64","","","","","","","",""
"https://www.lamudi.co.id/rumah-4-kamar-tidur-cukup-booking-3-5-juta-saja-be-166083150365.html","Rumah 4 kamar tidur cukup booking 3,5 juta saja bebas biaya lokasi Cilodong","Cilodong, Depok","Rp 750.000.000","4","2","62","60","","yes","yes","","","1","",""
"https://www.lamudi.co.id/rumah-murah-cicilan-3-jutaan-tanpa-dp-166693166333.html","RUMAH MURAH CICILAN 3 JUTAAN TANPA DP","JL.H HUSIN KALIMULYA KOTA DEPOK Cilodong, Depok","Rp 530.000.000","2","1","40","66","1","yes","yes","yes","","1","",""
"https://www.lamudi.co.id/ilalang-townhouse-bojongsari-depok-2.html","ilalang townhouse, bojongsari depok","Bojongsari Baru, Depok","Rp 655.000.000","2","1","42","74","42","","","","","","",""
