"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_AC","rumah_kolam_renang","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-siap-huni-model-minimalis-kalimulya.html","Rumah Siap Huni Model Minimalis Kalimulya","Jn Haji kocen kalimulya Depok Kalimulya, Depok","Rp 675.000.000","90","1","2","1","42","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-tanap-dp-di-depok.html","RUMAH 2 LANTAI TANAP DP DI DEPOK","JL.PARAJI KALIBARU CILODONG DEPOK Cilodong, Depok","Rp 875.000.000","80","1","3","2","90","yes","","","yes","yes","2",""
"https://www.lamudi.co.id/rumah-cicilan-3-jutaan-tanpa-dp-di-depok.html","RUMAH CICILAN 3 JUTAAN TANPA DP DI DEPOK","JL.H HUSIN KALIMULYA KOTA DEPOK Cilodong, Depok","Rp 530.000.000","66","1","2","1","45","yes","yes","yes","yes","yes","1",""
"https://www.lamudi.co.id/rumah-hemat-biaya2-free-biaya-surat2.html","RUMAH HEMAT BIAYA² FREE BIAYA SURAT²","Depok, Depok","Rp 593.500.000","72","","2","1","45","","","","","","",""
"https://www.lamudi.co.id/rumah-lokasi-dekat-pintu-tol-166881531962.html","Rumah lokasi dekat pintu tol","Cimanggis, Depok","Rp 565.000.000","72","","2","1","50","","yes","","yes","yes","",""
"https://www.lamudi.co.id/rumah-murah-di-pondok-rajeg-depok-167056453339.html","Rumah Murah di Pondok Rajeg Depok","Cilodong, Depok","Rp 285.000.000","53","","2","1","36","","","","","","",""
"https://www.lamudi.co.id/cluster-murah-siap-huni-strategis-dan-bebas-banjir.html","cluster murah siap huni . strategis dan bebas banjir","jl pasir putih Sawangan, Depok","Rp 275.000.000","60","1","1","2","1","","","","yes","yes","",""
"https://www.lamudi.co.id/dijual-townhouse-grogol-limo-166533256254.html","Dijual Townhouse Grogol limo","Grogol, Depok","Rp 1.150.000.000","85","1","4","3","105","","","","","","",""
"https://www.lamudi.co.id/rumah-3-lantai-cantik-lokasi-strategis-di-kelapa-d-166597495265.html","Rumah 3 Lantai Cantik Lokasi Strategis di Kelapa Dua Depok","Cimanggis, Depok","Rp 888.000.000","62","","4","3","130","","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-konsep-japanese-dan-skandinavia-dua-gaya-satu-disain.html","Rumah Dijual Konsep Japanese dan Skandinavia, dua gaya satu disain","Jatimulya depok Cilangkap, Depok","Rp 929.000.000","98","1","2","1","50","","","","yes","yes","",""
"https://www.lamudi.co.id/town-house-eropa-klasik-pinggir-jalan-raya-dekat-l-166993279191.html","TOWN HOUSE EROPA KLASIK PINGGIR JALAN RAYA DEKAT LRT CIBUBUR","Cibubur, Tapos, Depok Cimanggis, Depok","Rp 847.000.000","60","","3","2","72","","","","","yes","2",""
"https://www.lamudi.co.id/cipayung-regency-167033209672.html","cipayung regency","Cipayung, Depok","Rp 210.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/rumah-cantik-harga-menarik-166929893377.html","rumah cantik harga menarik","Cipayung, Depok","Rp 185.000.000","40","","2","1","30","yes","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-depok-tangsel-dekat-jalan-provinsi-167051513277.html","Rumah Minimalis.Depok.Tangsel.Dekat jalan provinsi/mall/transport umum","Bojongsari, Depok","Rp 492.500.000","62","15","2","1","42","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-di-kota-depok.html","Dijual Rumah Siap Huni di Kota Depok","Tapos, Depok","Rp 990.000.000","80","","3","2","","yes","","","","","",""
"https://www.lamudi.co.id/rumah-1lt-konsep-jepang-minimalis-500-jutaan-all-in-booming-di-sawangan-depok.html","Rumah 1Lt Konsep Jepang Minimalis 500 Jutaan All in Booming di Sawangan Depok","Sawangan, Depok","Rp 520.000.000","60","2","2","1","38","","","","yes","yes","",""
"https://www.lamudi.co.id/2-lantai-tanpa-dp-siap-huni.html","2 LANTAI TANPA DP SIAP HUNI","JL.PARAJI KALIBARU CILODONG KOTA DEPOK Sukmajaya, Depok","Rp 875.000.000","80","1","3","2","90","yes","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-minimalis-baru-daerah-citayam-165901658193.html","rumah minimalis baru daerah citayam","Citayam, Depok","Rp 355.000.000","70","","2","1","45","","","","yes","","",""
"https://www.lamudi.co.id/rumah-mewah-scandinavian-di-sawangan-dekat-pintu-toll-desari-n-cinere-kubah-emas.html","Rumah Mewah Scandinavian di Sawangan dekat Pintu Toll Desari n Cinere Kubah Emas","Jl. Raya Pengasinan, Komplek Bumi Sawangan Indah II Sawangan, Depok","Rp 625.000.000","65","","2","2","50","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-model-skandinavian-lingkungan-asri-didepok.html","Dijual rumah model skandinavian lingkungan asri didepok","al barokah jatimulya depok jawa barat Cilodong, Depok","Rp 822.820.000","89","1","2","1","50","","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-minimalis-tanpa-dp-siap-huni.html","Rumah minimalis tanpa DP siap huni","Sukmajaya, Depok","Rp 735.000.000","50","","2","2","","","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-bisa-cicil-pribadi.html","Rumah SIAP HUNI Bisa CICIL PRIBADI","Sawangan, Depok","Rp 375.000.000","60","","2","1","45","","","","yes","","",""
"https://www.lamudi.co.id/dijual-pedati-residencerumah-cluster-166524394682.html","Dijual PEDATI RESIDENCERumah cluster","Kalimulya, Depok","Rp 1.050.000.000","71","1","3","3","80","yes","","","","","",""
"https://www.lamudi.co.id/rumah-cluster-3-kamar-tidur-dekat-stasiun-dan-term-166453070527.html","Rumah cluster 3 kamar tidur dekat stasiun dan terminal Depok","Beji, Depok","Rp 750.000.000","40","1","3","2","50","","","","yes","yes","",""
"https://www.lamudi.co.id/kredit-rumah-tanpa-bi-checking-cilodong-gdc-cicila-166855907917.html","KREDIT RUMAH TANPA BI CHECKING CILODONG GDC, CICILAN FLAT 3,9 JTAN","Cilodong, Depok","Rp 362.000.000","72","","2","1","40","","","","","","",""
"https://www.lamudi.co.id/dijual-rumah-siap-huni-di-cluster-dekat-cinere-mas-166393019118.html","Dijual rumah siap huni di cluster dekat Cinere Mas -8784- DR","Cinere, Depok","Rp 2.900.000.000","141","","4","3","206","","","","yes","","",""
"https://www.lamudi.co.id/resident-depok-jaya-166929869189.html","resident depok jaya","Cipayung, Depok","Rp 150.000.000","40","","2","1","30","yes","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-pitara-depok-167204560374.html","Rumah Dijual Di Pitara Depok","Depok, Depok","Rp 650.000.000","128","","2","1","70","","","","","","",""
"https://www.lamudi.co.id/waw-hunian-mewah-idaman-cuman-500-jutaan-di-tapos-166683707475.html","WAW HUNIAN MEWAH IDAMAN CUMAN 500 JUTAAN DI TAPOS DEPOK DEKET TOL","Cibubur, Tapos, Depok Sukmajaya, Depok","Rp 490.000.000","33","","3","2","60","","","yes","yes","yes","2",""
"https://www.lamudi.co.id/rumah-termewah-sudah-shm-dan-imb-bisa-kpr-syari-ah-167175905578.html","rumah termewah sudah SHM dan IMB bisa KPR syari'ah","jalan hj sulaiman, bedahan, sawangan depok Sawangan, Depok","Rp 330.000.000","55","","2","1","38","","","","yes","yes","1",""
"https://www.lamudi.co.id/jual-asri-nyaman-one-gate-system-166881639522.html","Jual Asri Nyaman One Gate Sistem","Tapos, Depok","Rp 532.000.000","72","","2","1","50","","yes","","yes","yes","",""
"https://www.lamudi.co.id/br-931-rumah-dijual-siap-huni.html","BR 931 Rumah dijual siap huni","gdc Depok, Depok","Rp 600.000.000","72","1","2","1","45","","","","yes","yes","",""
"https://www.lamudi.co.id/rumah-siap-huni-dp-0-di-di-sawangan-depok.html","Rumah Siap Huni DP 0% Di Di Sawangan Depok","Sawangan, Depok","Rp 949.000.000","50","","2","1","90","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-siap-huni-tanpa-dp-0-166755951496.html","Rumah minimalis siap huni tanpa DP 0%","Sukmajaya, Depok","Rp 735.000.000","92","","2","2","50","yes","","","yes","yes","",""
"https://www.lamudi.co.id/bedahan-terrace-2-lantai-perumahan-baru-terbaik-di-depok.html","Bedahan Terrace 2 Lantai Perumahan Baru Terbaik di Depok","Jl. Kavling Kehakiman Bedahan, Sawangan Rangkapan Jaya, Depok","Rp 660.000.000","97","1","3","2","56","","","","","","",""
"https://www.lamudi.co.id/rumah-modern-minimalist-depok-kpr-mulai-dari-500jt-166692818545.html","Rumah Modern Minimalist Depok, KPR Mulai dari 500jt DP 0%","Kalimulya, Depok","Rp 584.000.000","60","1","3","2","46","","","","yes","yes","",""
"https://www.lamudi.co.id/1-lantai-kpr-siap-huni-165901908028.html","1 lantai kpr siap huni","Bojongsari, Depok","Rp 660.000.000","90","","2","1","36","","","","","","",""
"https://www.lamudi.co.id/rumah-second-dgn-tanah-luas-204m-dekat-stasiun-ui-167184993976.html","Rumah second dgn tanah luas 204m dekat stasiun UI Depok di kelapa dua Depok","Jln areman kelapa dua Depok Kelapa Dua, Depok","Rp 1.300.000.000","204","1","3","2","140","","yes","yes","yes","yes","1",""
"https://www.lamudi.co.id/rumah-2-lantai-564-juta-lokasi-dekat-tol-desari-166546893035.html","Rumah 2 lantai 564 juta lokasi dekat tol Desari","Sawangan, Depok","Rp 564.000.000","40","1","2","2","42","","","yes","","yes","",""
"https://www.lamudi.co.id/rumah-hook-siap-huni-di-permata-cimanggis-dekat-pi-166610723797.html","Rumah hook siap huni di permata Cimanggis dekat pintu tol Cimanggis","Tapos, Depok","Rp 750.000.000","84","","2","1","50","","","","","","",""
"https://www.lamudi.co.id/rumah-taman-melati-premiere-di-duren-mekar.html","RUMAH TAMAN MELATI PREMIERE DI DUREN MEKAR","Duren Mekar Depok","Rp 725.000.000","120","","3","1","62","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-klasik-modern-cinere-depok.html","Rumah Mewah Klasik Modern Cinere Depok","Jalan Cinere Raya Jawa barat Cinere, Depok","Rp 1.800.000.000","90","2","4","4","130","","","","","","",""
"https://www.lamudi.co.id/hunian-asri-di-graha-bukit-cinere-8.html","Hunian Asri Di Graha Bukit Cinere","Cinere, Depok","Rp 1.500.000.000","70","1","3","2","90","","","","","","",""
"https://www.lamudi.co.id/rumah-sawangan-depok-2-lantai-166694570424.html","RUMAH SAWANGAN DEPOK 2 LANTAI","Kav.Kehakiman Rt. 001 Rw. 006 Kel, Bedahan, Kec. Sawangan, Kota Depok, Jawa Barat 16519 Sawangan, Depok","Rp 525.150.000","50","1","3","2","44","yes","","","yes","yes","",""
"https://www.lamudi.co.id/di-jual-rumah-siap-huni-40.html","Di Jual Rumah Siap Huni","Jln Abdul Wahab Sawangan, Depok","Rp 945.000.000","68","1","3","2","101","","","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-2-lantai-carpot-2-mobil-166011522799.html","Rumah 2 Lantai carpot 2 mobil","Beji, Depok","Rp 1.300.000.000","98","","3","3","130","yes","","yes","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-inden-di-kawasan-depok-166865684721.html","Dijual Rumah Inden Di Kawasan Depok","JL. KP. CILANGKAP NO.RT 01/11, CILANGKAP, KEC. TAPOS, KOTA DEPOK, JAWA BARAT 16458 DEPOK Cilangkap, Depok","Rp 422.000.000","60","","2","1","36","","","","yes","","",""
"https://www.lamudi.co.id/promo-rumah-dp-0-rumah-siap-huni-didepok.html","PROMO RUMAH DP 0%,RUMAH SIAP HUNI DIDEPOK","Jl.H.Miun Kelurahan Sukmajaya Kecamatan Sukmajaya Kota Depok Sukmajaya, Depok","Rp 840.000.000","80","1","3","3","80","yes","","yes","yes","yes","",""
"https://www.lamudi.co.id/hunian-mewah-tanpa-dp-siap-huni.html","Hunian mewah tanpa DP siap huni","Sukmajaya, Depok","Rp 997.000.000","80","","3","3","","yes","","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-strategis-dekat-alun-alun-dep-166634308581.html","Rumah Mewah 2 Lantai Strategis dekat Alun-alun Depok","Jalan Kemang 1, Depok 16461, Indonesia Sukmajaya, Depok","Rp 907.000.000","65","2","3","2","62","","","yes","yes","yes","",""
"https://www.lamudi.co.id/dijual-rumah-depok-swadaya.html","Dijual rumah. Depok - Swadaya","Depok","Rp 1.500.000.000","251","","3","2","108","","","","","","",""
"https://www.lamudi.co.id/rumah-baru-siap-huni-5-menit-ke-tol-kukusan.html","Rumah baru siap huni 5 menit ke tol kukusan","Beji, Depok","Rp 1.300.000.000","98","","3","3","130","","","yes","yes","","",""
"https://www.lamudi.co.id/cluster-rumah-2-lantai-selangkah-ke-tol-cibubur-sh-166547040021.html","CLUSTER RUMAH 2½LANTAI SELANGKAH KE TOL CIBUBUR SHM IMB KPR DP SUKA²","Margonda, Depok","Rp 699.000.000","60","","3","2","72","","","","","","",""
"https://www.lamudi.co.id/type-36-67-legalitas-shm-harga-220-jt-siap-huni-166468998035.html","Type 36/67 Legalitas SHM Harga 220 Jt Siap huni","Sawangan, Depok","Rp 220.000.000","67","","2","1","36","","","","","","",""
