"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_AC","rumah_keamanan","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-di-depok-dekat-pintu-tol-design-nya-millenial-banget.html","Rumah Di Depok nyaman Dekat stasiun dan Pintu Tol Desari Pancoran mas","Pancoran Mas, Depok","Rp 1.050.000.000","100","2","3","2","84","yes","","","yes","2","",""
"https://www.lamudi.co.id/cluster-sultan-termewah-fasilitas-terlengkap-dengan-akses-terstrategis.html","Cluster Sultan Termewah&Fasilitas Terlengkap dengan Akses Terstrategis","Jl. Raya Bojongsari No.53 Bojongsari, Depok","Rp 2.500.000.000","144","2","4","4","185","yes","","yes","yes","2","yes",""
"https://www.lamudi.co.id/cluster-mewah-2-lantai-dp-0-166363846497.html","Cluster Mewah 2 Lantai DP 0%","Bojongsari, Depok","Rp 700.000.000","60","","3","2","60","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-ready-dekat-pintu-tol-cijago-cibubur-harjamu-166774076980.html","Rumah Ready Dekat Pintu Tol Cijago Cibubur Harjamukti Cimanggis Depok","Cimanggis, Depok","Rp 1.342.000.000","78","","3","3","110","","","","","2","",""
"https://www.lamudi.co.id/termurah-rumah-depok-360-juta-2-lantai-16701293631.html","Termurah Rumah Depok 360 Juta 2 Lantai","Cilodong, Depok","Rp 360.000.000","40","","2","2","42","yes","","","","","",""
"https://www.lamudi.co.id/ready-pinggir-jalan-tanpa-dp.html","Ready pinggir jalan tanpa Dp","Cilodong, Depok","Rp 750.000.000","60","","3","2","60","yes","yes","","yes","","",""
"https://www.lamudi.co.id/dijual-rumah-murahh.html","Dijual Rumah murahh","Depok","Rp 750.000.000","134","","2","2","198","","","","","","",""
"https://www.lamudi.co.id/townhouse-seberang-masjid-kubah-mas-cinere-167185551661.html","TownHouse Seberang Masjid Kubah Mas Cinere","Limo, Depok","Rp 850.000.000","72","","5","2","115","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-second-kelapa-dua-dekat-toll.html","Rumah Second Kelapa Dua dekat Toll","Depok","Rp 1.200.000.000","","","3","2","90","","","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-kukusan-beji-lokasi-dekat-pintu-to-166635844259.html","rumah dijual di Kukusan Beji, lokasi dekat pintu tol harga nego","jl palakali Beji, Depok","Rp 1.000.000.000","154","1","3","2","100","","","","","","",""
"https://www.lamudi.co.id/rumah-di-jual-area-depok-bebas-banjir-dekat-pintu-166036987898.html","Rumah Di Jual Area Depok Bebas Banjir Dekat Pintu Tol","Jln Abdul Wahab Sawangan Baru, Depok","Rp 800.000.000","70","1","3","3","78","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/rumah-murah-minimalis-angsuran-ringan-dekat-tol-sa-165965857498.html","Rumah murah minimalis angsuran ringan dekat Tol Sawangan Depok","Pasir putih Sawangan Depok Sawangan, Depok","Rp 480.000.000","72","1","2","1","45","yes","","","","","",""
"https://www.lamudi.co.id/rumah-1-lantai-konsep-minimalis-harga-ekonomis-area-pondok-cabe-start-form-595-j.html","Rumah 1 Lantai Konsep minimalis harga ekonomis area Pondok Cabe Start Form 595 J","Parakan, Cinangka sawangan (perbatasan pondok cabe Tangsel)⁣ Sawangan, Depok","Rp 595.000.000","84","1","2","2","45","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-minimalis-cimanggis-depok-cluster-m-16590126424.html","Rumah 2 Lantai Minimalis Cimanggis Depok Cluster Mewah Pinggir Jalan","Jl kebayunan, Cimanggis Cimanggis, Depok","Rp 940.110.000","67","1","3","2","70","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-minimalis-cilodong-depok-bebas-biaya-biaya.html","Rumah 2 Lantai Minimalis Cilodong Depok, Bebas Biaya Biaya","jl. Abdul Gani Depok","Rp 665.197.500","66","2","3","2","56","yes","","yes","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-cluster-kalimulya-cilodong-depok-de-165901262953.html","Rumah 2 Lantai Cluster Kalimulya Cilodong Depok Dekat Kantor Pemda","Kalimulya Cilodong, Depok","Rp 1.090.000.000","80","1","3","2","70","","","yes","","","",""
"https://www.lamudi.co.id/dp-0-survey-dulu-dijamin-cocok-166808443478.html","DP 0 %, Survey dulu dijamin cocok","Kalimulya, Depok","Rp 650.000.000","87","","2","2","60","yes","yes","yes","","","",""
"https://www.lamudi.co.id/clouster-amanah-village-murah-16724400352.html","Clouster Amanah Village murah","Citayam, Depok","Rp 200.000.000","40","","2","1","36","yes","","","yes","","",""
"https://www.lamudi.co.id/jual-rumah-murah-di-depok-cukup-boking-4-juta-all-166602551428.html","jual rumah murah di depok cukup boking 4 juta all in","Beji, Depok","Rp 1.050.000.000","90","","4","3","80","yes","","yes","","","yes",""
"https://www.lamudi.co.id/rumah-cantik-2-lantai-di-cinere-deket-pintu-tol-de-167050239054.html","Rumah cantik 2 lantai di Cinere deket pintu tol desari","Grogol, Depok","Rp 999.000.000","96","","3","3","72","","","","","","",""
"https://www.lamudi.co.id/town-house-exclusive-tanpa-dp-di-kota-depok.html","Town House Exclusive TANPA DP di Kota Depok","Depok, Depok","Rp 940.000.000","86","","3","3","70","yes","","","","","",""
"https://www.lamudi.co.id/hunian-murah-1-lantai-2-kamar-tidur-dekat-transpor-16703196196.html","Hunian Murah 1 Lantai 2 Kamar Tidur Dekat Transportasi, Sekolah","Rangkapan Jaya, Depok","Rp 570.000.000","63","1","2","1","45","yes","","yes","","","",""
"https://www.lamudi.co.id/top-sell-rumah-mewah-eropa-idaman-keluarga-500-jut-166657477029.html","TOP SELL RUMAH MEWAH EROPA IDAMAN KELUARGA 500 JUTAAN DEKET TOL","Cibubur, Tapos, Depok Pancoran Mas, Depok","Rp 490.000.000","33","","3","2","60","yes","","yes","yes","2","",""
