"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-2-lantai-casablanca-premiere-dp-15-juta-dekat-margonda-juanda-depok.html","Rumah 2 Lantai DP 15 Juta Di Pekapuran Cimanggis Tapos Depok","Jalan Belong Sukatani Pekapuran Cimanggis Tapos Depok Sukatani, Depok","Rp 878.000.000","66","","3","2","63","yes","yes","","","","2",""
"https://www.lamudi.co.id/rumah-2-lantai-osaka-premiere-dekat-exit-toll-cima-167171898630.html","Rumah 2 Lantai Osaka Premiere Dekat Exit Toll Cimanggis Tapos Depok","Jalan Raya Tapos Depok Tapos, Depok","Rp 848.000.000","50","","3","2","65","yes","yes","","","","2",""
"https://www.lamudi.co.id/rumah-2-lantai-free-biaya-biaya-di-pekapuran-ciman-167050904126.html","Rumah 2 Lantai Free Biaya biaya Di Pekapuran Cimanggis Tapos Depok","Jalan Belong Pekapuran Cimanggis Tapos Depok Sukatani, Depok","Rp 876.000.000","66","","3","2","63","yes","yes","","","","2",""
"https://www.lamudi.co.id/rumah-murah-idaman-166856689433.html","rumah murah idaman","Cipayung Jaya, Depok","Rp 190.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/rumah-baru-di-cipayung-depok-166125141653.html","Rumah Baru di Cipayung Depok","Cipayung, Depok","Rp 385.000.000","","","3","1","","","","","","","",""
"https://www.lamudi.co.id/rumah-cantik-2-lantai-nempel-pintu-tol-free-bphtb-biaya-notaris-hanya-700jt.html","Rumah Cantik 2 Lantai Nempel Pintu Tol, Free BPHTB & Biaya Notaris, Hanya 700jt","Pancoran Mas, Depok","Rp 780.000.000","60","","3","2","70","","","","","","2",""
"https://www.lamudi.co.id/cluster-duta-cibubur-premier-166813327112.html","cluster Duta cibubur premier","Cisalak, Depok","Rp 720.000.000","70","","3","2","72","","","","","","","No"
"https://www.lamudi.co.id/rumah-cantik-2-lantai-nempel-pintu-tol-free-bphtb-biaya-notaris-hanya-700jt.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-kota-depok-marbella-estate.html","Rumah 2 Lantai Kota Depok, Marbella Estate","Jl. RRI Sukamaju, Depok","Rp 827.000.000","68","","3","2","66","","","","","","",""
"https://www.lamudi.co.id/rumah-tanpa-dp-dekat-stasiun-167229845656.html","Rumah Tanpa DP Dekat Stasiun","Citayam, Depok","Rp 500.000.000","72","","2","1","36","yes","yes","","","yes","",""
"https://www.lamudi.co.id/shila-sawangan-rumah-berkonsep-harmoni-alam-di-kel-166554882120.html","Shila Sawangan, rumah berkonsep harmoni alam di kelilingi danau cantik","Bojongsari, Depok","Rp 1.900.000.000","98","2","3","3","110","yes","yes","yes","yes","","",""
"https://www.lamudi.co.id/br904-cluster-anggrek-grand-depok-city-bangunan-2-166598837544.html","BR904 Cluster Anggrek Grand Depok City bangunan 2 lantai luas 120m","Cluster Anggrek Grand Depok City Sukmajaya, Depok","Rp 1.680.000.000","120","2","4","4","119","","","","","","",""
"https://www.lamudi.co.id/br963-perumahan-luas-144m-sektor-melati-grand-depo-166598942143.html","BR963 Perumahan luas 144m Sektor Melati Grand Depok City","Sektor Melati Grand Depok City Cilodong, Depok","Rp 1.100.000.000","144","1","3","2","100","","","","","","",""
