rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_fully_furnished,rumah_keamanan,rumah_kolam_renang,rumah_taman,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_balcony,rumah_AC
https://www.lamudi.co.id/jual-rumah-strategis-bisa-kpr-dekat-stasiun-depok-166653649320.html,Jual Rumah Strategis Bisa KPR Dekat Stasiun Depok Baru Harga All In Nego,"Pancoran Mas, Depok",Rp 1.680.000.000,3,1,103,133,,yes,,yes,1,2,yes,
https://www.lamudi.co.id/rumah-minimalis-strategis-dekat-stasiun-citayam-harga-nego-siap-kpr.html,Rumah Minimalis Strategis Dekat Stasiun Citayam Harga All In Nego Siap KPR,"Citayam, Depok",Rp 630.000.000,2,1,45,84,,yes,,yes,1,1,,
https://www.lamudi.co.id/jual-rumah-minimalis-seken-strategis-dekat-stasiun-165873928764.html,Jual Rumah Minimalis Seken Strategis Dekat Stasiun Depok Harga All In Siap KPR,"Beji, Depok",Rp 1.080.000.000,2,1,70,90,,yes,,yes,1,2,,
https://www.lamudi.co.id/rumah-2-lantai-idaman-di-limo-depok-bebas-banjir-s-16593456427.html,Rumah 2 Lantai Idaman di Limo Depok Bebas Banjir Siap Huni Harga All In Bisa KPR,"Limo, Depok",Rp 1.320.000.000,3,3,140,72,,yes,,yes,1,2,yes,
https://www.lamudi.co.id/jual-cepat-rumah-luas-bebas-banjir-strategis-di-bo-16625394017.html,Rumah Luas Bebas Banjir Strategis di Bojongsari Depok Harga All In Siap KPR,"Tamansari Puri Bali Bojongsari, Depok",Rp 1.100.000.000,4,2,110,159,,yes,,yes,2,2,,
https://www.lamudi.co.id/jual-rumah-minimalis-seken-siap-kpr-di-felicity-ma-166797390710.html,Jual Rumah Minimalis Seken Siap KPR di Felicity Madani Harga All In Nego,"Bojongsari, Depok",Rp 625.000.000,2,1,39,83,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-hook-luas-harga-all-in-kpr-dekat-bojongsari-16679756386.html,Rumah Hook Luas Harga All In KPR Dekat Bojongsari Depok Bisa Nego,"Puri Asri Sawangan Bojongsari, Depok",Rp 875.000.000,2,1,90,175,,yes,,yes,1,1,,
https://www.lamudi.co.id/dijual-rumah-asri-unit-pojokan-di-panoramic-garden-siap-huni-bisa-kpr.html,Rumah Asri Unit Pojokan di Panoramic Garden Siap Huni Harga All In Bisa KPR,"Panoramic Garden Sukmajaya, Depok",Rp 1.800.000.000,3,3,150,106,,yes,,yes,1,2,yes,
https://www.lamudi.co.id/jual-cepat-rumah-minimalis-siap-huni-di-perum-taman-jasmine-mas-bisa-kpr.html,Jual Rumah Minimalis Siap Huni di Perum Taman Jasmine Mas Harga All In Bisa KPR,"Perumahan Taman Jasmine Mas Bojongsari, Depok",Rp 900.000.000,3,1,81,81,,yes,,,1,1,,
https://www.lamudi.co.id/jual-cepat-rumah-nego-siap-huni-di-perumahan-sawo-griya-kencana-1.html,Jual Rumah Nego Siap KPR di Perumahan Sawo Griya Kencana Harga All In,"Limo, Depok",Rp 1.080.000.000,3,2,80,84,,yes,,yes,1,1,,
https://www.lamudi.co.id/dijual-rumah-minimalis-asri-bebas-banjir-di-tapos-depok-siap-kpr.html,Dijual Rumah Minimalis Asri Bebas Banjir di Tapos Depok Harga All In Siap KPR,"Jalan Cilangkap Tapos, Depok",Rp 1.380.000.000,3,3,104,164,,yes,,yes,1,2,,
https://www.lamudi.co.id/jual-cepat-rumah-2-lantai-strategis-siap-huni-di-perum-matoa-hill-bisa-kpr.html,Rumah 2 Lantai Strategis Siap Huni di Perum Matoa Hill Harga All In Bisa KPR,"Perumahan Matoa Hill Limo, Depok",Rp 1.500.000.000,3,2,105,95,,yes,,yes,1,2,,
https://www.lamudi.co.id/jual-rumah-asri-idaman-siap-kpr-di-perum-tamansari-puri-bali-bebas-banjir.html,Rumah Asri Idaman Siap KPR di Perum Tamansari Puri Bali Harga All In Bisa Nego,"Bojongsari, Depok",Rp 780.000.000,2,1,42,72,,yes,,yes,1,1,,
https://www.lamudi.co.id/jual-cepat-rumah-minimalis-strategis-di-perum-the-166055136656.html,Rumah Minimalis Strategis di Perum The Orchid Green Park Harga All In Siap KPR,"Perumahan The Orchid Green Park Sawangan, Depok",Rp 660.000.000,2,1,50,82,,yes,,yes,1,1,,
https://www.lamudi.co.id/jual-rumah-luas-bergaya-skandinavia-dekat-margonda-166062976516.html,Jual Rumah Luas Bergaya Skandinavia Dekat Margonda Depok Harga All In Siap KPR,"Margonda, Depok",Rp 2.040.000.000,3,3,115,150,,yes,,yes,1,1,,
https://www.lamudi.co.id/dijual-rumah-luas-unit-pojokan-di-the-akasia-terra-166184550962.html,Rumah Luas Unit Pojokan di The Akasia Terrace Siap Huni Harga All In Bisa KPR,"The Akasia Terrace Bojongsari, Depok",Rp 1.350.000.000,3,3,100,123,,yes,,yes,1,2,,
https://www.lamudi.co.id/rumah-minimalis-modern-harga-all-in-kpr-di-sawanga-166951955274.html,Rumah Minimalis Modern Harga All In KPR di Sawangan Bebas Banjir Bisa Nego,"Sawangan, Depok",Rp 1.320.000.000,2,2,100,140,,yes,,,2,1,,
https://www.lamudi.co.id/dijual-rumah-strategis-bebas-banjir-dekat-cinere-harga-nego-siap-kpr.html,Dijual Rumah Strategis Bebas Banjir Dekat Cinere Harga All In Nego Siap KPR,"Pomentia Residence Cinere, Depok",Rp 2.640.000.000,4,4,140,110,,yes,,yes,1,2,,
https://www.lamudi.co.id/jual-rumah-seken-terawat-siap-kpr-di-perum-depok-country-bebas-banjir.html,Rumah Seken Terawat Siap KPR di Perum Depok Country Harga All In Bebas Banjir,"Cipayung, Depok",Rp 810.000.000,2,1,45,84,,yes,,yes,1,1,,
https://www.lamudi.co.id/dijual-rumah-asri-bebas-banjir-di-grand-depok-city-165873910369.html,Dijual Rumah Asri Bebas Banjir di Grand Depok City Harga All In Nego Siap KPR,"Pancoran Mas, Depok",Rp 1.080.000.000,2,1,70,90,,yes,,yes,1,2,,
https://www.lamudi.co.id/rumah-minimalis-asri-di-griya-melati-mas-siap-huni-166081212429.html,Rumah Minimalis Asri di Griya Melati Mas Siap Huni Harga All In Nego Bisa KPR,"Cilodong, Depok",Rp 660.000.000,2,1,72,72,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-asri-2-lantai-siap-huni-di-victoria-hills-re-166126206227.html,Rumah 2 Lantai Siap Huni di Victoria Hills Residence Harga All In Nego Bisa KPR,"Victoria Hills Residence Pancoran Mas, Depok",Rp 1.500.000.000,3,3,88,84,,yes,,yes,1,2,,
https://www.lamudi.co.id/rumah-unit-pojokan-siap-kpr-di-permata-depok-regen-16629635345.html,Rumah Unit Pojokan Siap KPR di Permata Depok Regency Harga All In Bisa Nego,"Cipayung, Depok",Rp 660.000.000,2,1,50,69,,yes,,yes,1,1,,
https://www.lamudi.co.id/dijual-rumah-strategis-di-puri-asri-sawangan-harga-166797544675.html,Dijual Rumah Strategis di Puri Asri Sawangan Harga All In KPR Bisa Nego,"Sawangan, Depok",Rp 875.000.000,2,1,90,175,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-idaman-2-lantai-siap-huni-dekat-bojongsari-d-16650506656.html,Rumah Idaman 2 Lantai Siap Huni Dekat Bojongsari Depok Harga All In Bisa Nego,"Pahlawan Residence Bojongsari, Depok",Rp 1.560.000.000,3,2,90,109,,yes,,yes,2,2,yes,
https://www.lamudi.co.id/jual-rumah-asri-gaya-bali-di-tamansari-puri-bali-d-166253916944.html,Rumah Asri Gaya Bali di Tamansari Puri Bali Siap Huni Harga All In Bisa KPR,"Sawangan, Depok",Rp 1.100.000.000,4,2,110,159,,yes,,yes,2,2,,
https://www.lamudi.co.id/rumah-hook-luas-idaman-siap-kpr-di-sawangan-villag-16683973511.html,Rumah Hook Luas Idaman Siap KPR di Sawangan Village Harga All In Bisa Nego,"Sawangan Village Limo, Depok",Rp 1.400.000.000,3,2,135,225,,yes,,yes,2,2,yes,
https://www.lamudi.co.id/rumah-seken-strategis-bebas-banjir-dekat-the-park-166857104937.html,Rumah Seken Strategis Bebas Banjir Dekat The Park Sawangan Harga All In KPR,"Sawangan, Depok",Rp 900.000.000,3,1,81,81,Tidak,yes,,,1,1,,
https://www.lamudi.co.id/rumah-2-lantai-strategis-di-grand-depok-city-bebas-166055733752.html,Rumah 2 Lantai Strategis di Grand Depok City Bebas Banjir Harga All In Siap KPR,"Beji, Depok",Rp 1.560.000.000,3,3,145,115,,yes,,yes,2,2,,
https://www.lamudi.co.id/dijual-rumah-asri-bebas-banjir-di-bukit-golf-riverside-siap-kpr.html,Dijual Rumah Asri Bebas Banjir di Bukit Golf Riverside Harga All In Siap KPR,"Bukit Golf Riverside Cluster Orchid Cimanggis, Depok",Rp 2.550.000.000,3,3,160,165,,yes,,yes,1,2,,
https://www.lamudi.co.id/jual-cepat-rumah-strategis-siap-huni-siap-kpr-di-sawangan.html,Jual Cepat Rumah Strategis Siap Huni Siap KPR di Sawangan,"Cinangka, Sawangan, Depok Sawangan, Depok",Rp 1.078.000.000,3,2,96,160,,yes,,yes,1,1,,
https://www.lamudi.co.id/jual-rumah-pojokan-siap-huni-di-bumi-kemang-indah-tapos-harga-nego-bisa-kpr.html,Rumah Pojokan Siap Huni di Bumi Kemang Indah Tapos Harga All In Nego Bisa KPR,"Bumi Kemang Indah Tapos, Depok",Rp 870.000.000,3,2,90,119,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-bebas-banjir-strategis-dekat-stasiun-ka-depo-166063051976.html,Rumah Bebas Banjir Strategis Dekat Stasiun KA Depok Baru Harga All In Siap KPR,"Bella Casa Residence Pancoran Mas, Depok",Rp 2.040.000.000,3,3,115,150,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-luas-asri-strategis-di-griya-cinere-depok-ha-16651000097.html,Rumah Luas Asri Strategis di Griya Cinere Depok Harga All In Siap KPR Bisa Nego,"Limo, Depok",Rp 2.400.000.000,3,2,150,120,,yes,,yes,1,2,,
https://www.lamudi.co.id/jual-rumah-strategis-harga-all-in-kpr-di-jalan-abd-166951974541.html,Jual Rumah Strategis Harga All In KPR di Jalan Abdul Wahab Depok Bebas Banjir,"Limo, Depok",Rp 1.320.000.000,2,2,100,140,,yes,,,2,1,,
https://www.lamudi.co.id/jual-cepat-rumah-bebas-banjir-di-graha-2-cinere-ha-165995561195.html,Rumah Bebas Banjir di Graha 2 Cinere Harga All In Bisa Nego Siap KPR,"Cinere, Depok",Rp 1.920.000.000,2,3,160,167,,yes,,yes,1,1,,
https://www.lamudi.co.id/jual-cepat-rumah-unit-pojokan-siap-huni-dekat-stas-166055719557.html,Rumah Unit Pojokan Siap Huni Dekat Stasiun KA Depok Harga All In Bisa Nego,"Grand Depok City Pancoran Mas, Depok",Rp 1.560.000.000,3,3,145,115,,yes,,yes,2,2,yes,
https://www.lamudi.co.id/dijual-rumah-unit-pojokan-strategis-dekat-gerbang-166107872267.html,Rumah Unit Pojokan Strategis Dekat Gerbang Tol Limo Depok Harga All In Siap KPR,"Cluster Cinere Modern Limo, Depok",Rp 1.475.000.000,4,3,150,151,,yes,,yes,1,2,,
https://www.lamudi.co.id/dijual-rumah-asri-strategis-dekat-margonda-depok-b-166126243542.html,Rumah Asri Strategis Dekat Margonda Depok Bebas Banjir Harga All In Siap KPR,"Victoria Hills Residence Margonda, Depok",Rp 1.500.000.000,3,3,88,84,,yes,,yes,1,2,,
https://www.lamudi.co.id/rumah-bebas-banjir-strategis-dekat-grand-mall-cima-166203324721.html,Rumah Bebas Banjir Strategis Dekat Grand Mall Cimanggis Harga All In Siap KPR,"Juanda Green Residence Cimanggis, Depok",Rp 1.660.000.000,3,3,140,113,,yes,,yes,1,2,yes,
https://www.lamudi.co.id/rumah-strategis-siap-kpr-dekat-gerbang-tol-margond-166453003219.html,Rumah Strategis Siap KPR Dekat Gerbang Tol Margonda 3 Harga All In Bisa Nego,"Margonda, Depok",Rp 1.560.000.000,3,2,85,133,,yes,,,1,1,,
https://www.lamudi.co.id/dijual-rumah-2-lantai-idaman-dekat-terminal-sawang-166858100524.html,Dijual Rumah 2 Lantai Idaman Dekat Terminal Sawangan Harga All In Nego Siap KPR,"Limo Residence Sawangan, Depok",Rp 2.040.000.000,2,2,150,113,,yes,,yes,2,2,,
https://www.lamudi.co.id/rumah-minimalis-seken-siap-huni-di-tamansari-puri-167107277524.html,Rumah Minimalis Seken Siap Huni di Tamansari Puri Bali Harga All In KPR,"Bojongsari, Depok",Rp 690.000.000,2,1,50,76,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-hook-asri-harga-all-in-kpr-dekat-sawangan-be-167100615172.html,Rumah Hook Asri Harga All In KPR Dekat Sawangan Bebas Banjir Bisa Nego,"Sawangan, Depok",Rp 1.400.000.000,3,2,909,227,,yes,,yes,2,1,,
https://www.lamudi.co.id/rumah-dp-ringan-siap-kpr-dekat-stasiun-ka-citayam-166055170517.html,Rumah DP Ringan Siap KPR Dekat Stasiun KA Citayam Harga All In Bebas Banjir,"Perumahan The Orchid Green Park Citayam, Depok",Rp 660.000.000,2,1,50,82,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-harga-nego-jual-cepat-dekat-sawangan-bisa-kpr.html,Rumah Harga All In Bisa Nego Dekat Sawangan Siap KPR,"Sawangan, Depok",Rp 1.200.000.000,3,3,100,120,,yes,,yes,1,2,,
https://www.lamudi.co.id/jual-rumah-luas-strategis-dekat-gerbang-tol-limo-d-165995507980.html,Rumah Luas Strategis Dekat Gerbang Tol Limo Depok Siap KPR Harga All In Nego,"Graha 2 Cinere Limo, Depok",Rp 1.920.000.000,2,3,160,167,,yes,,,1,1,,
https://www.lamudi.co.id/rumah-bebas-banjir-siap-huni-dekat-the-park-mall-s-166073712622.html,Rumah Bebas Banjir Siap Huni Dekat The Park Mall Sawangan Harga All In Bisa KPR,"Sawangan, Depok",Rp 2.160.000.000,2,1,60,152,,yes,,yes,1,1,,
https://www.lamudi.co.id/rumah-asri-2-lantai-siap-huni-di-grand-depok-city-165952005432.html,Rumah Asri 2 Lantai Siap Huni di Grand Depok City Harga All In Nego Bisa KPR,"Grand Depok City Sukmajaya, Depok",Rp 2.280.000.000,3,4,200,180,,yes,,yes,1,2,yes,
https://www.lamudi.co.id/rumah-luas-2-lantai-di-perumahan-taman-puspa-ciman-166296477341.html,Rumah Luas 2 Lantai di Perumahan Taman Puspa Cimanggis Harga All In Siap KPR,"Perumahan Taman Puspa Cimanggis, Depok",Rp 1.800.000.000,4,2,130,105,,yes,,yes,2,2,yes,
https://www.lamudi.co.id/rumah-green-lake-cluster-cimanggis-166908947910.html,JUAL RUMAH DI CIMANGGIS DEPOK,"Cimanggis, Depok",Rp 1.000.000.000,3,2,90,65,,,,,2,,,
https://www.lamudi.co.id/rumah-tanpa-dp-cilodong-depok-167143488960.html,RUMAH TANPA DP CILODONG DEPOK,"Cilodong, Depok",Rp 735.000.000,2,2,50,74,,,,yes,,,,yes
https://www.lamudi.co.id/dijual-rumah-minimalis-di-komplek-de-fatmawati-lim-167065342814.html,Dijual rumah minimalis di komplek de fatmawati limo cinere depok,"Jalan Tiga Putra, Depok 16451, Indonesia Limo, Depok",Rp 549.000.000,1,2,40,70,,yes,,yes,1,,,
https://www.lamudi.co.id/full-furnished-rumah-dengan-luas-300m2-dijual-bu-16705532904.html,"Full furnished, dijual rumah dengan luas 300m2","Cilodong, Depok",Rp 1.250.000.000,4,2,120,300,,,,yes,,,,
https://www.lamudi.co.id/dijual-rumah-cash-dan-kpr-tanpa-dp-0-167048583541.html,dijual rumah cash dan kpr tanpa dp 0%,"Cilodong, Depok",Rp 610.000.000,2,1,36,61,,,,,,,,
https://www.lamudi.co.id/dijual-rumah-di-beji-kukusan-167091101275.html,Dijual Rumah di Beji Kukusan,"Beji, Depok",Rp 987.000.000,2,2,70,98,,,,,,2,,
https://www.lamudi.co.id/trevista-hills-tipe-a-166574602830.html,Trevista Hills Tipe A,"Jl. Raya Pd. Petir No.99, Pd. Petir Bojongsari, Depok",Rp 1.172.500.000,3,2,75,84,Tidak,yes,,yes,2,2,,
https://www.lamudi.co.id/promo-rumah-dp-sepuluh-juta-an-166900844799.html,PROMO RUMAH DP 10 JUTA ALL IN,"Cimanggis, Depok",Rp 680.000.000,2,1,49,68,,,,,,,,
https://www.lamudi.co.id/tanpa-dp-rumah-2-lt-di-sawangan-depok-167110303432.html,TANPA DP RUMAH MEWAH 2 LT DI SAWANGAN DEPOK,"Bojongsari, Depok",Rp 594.000.000,2,1,45,60,,,,,,,,
https://www.lamudi.co.id/rumah-di-depok-cimanggis-5-menit-ke-tol-lokasi-pinggir-jalan-raya-kebayunan.html,DIJUAL RUMAH MEWAH DI CIMANGGIS DEPOK 10 MENIT KE TOL CIMANGGIS DEPOK,"Jl.Raya Kebayunan Kota mandiri cimanggis Depok Cimanggis, Depok",Rp 1.043.000.000,3,2,70,78,,yes,,,2,2,,
