"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_AC","rumah_taman","rumah_keamanan","rumah_balcony","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-dekat-rs-hermina-depok-166929746167.html","Rumah Dekat RS Hermina Depok","Jl. Tole Iskandar , Kel. Tirta Jaya, Kec. Sukmajaya, Depok - 16411 Sukmajaya, Depok","Rp 1.800.000.000","180","1","2","1","90","","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-cluster-siap-huni-lokasi-depok-jatimulya-167211585575.html","Rumah cluster siap huni lokasi depok jatimulya","Cilodong, Depok","Rp 950.000.000","80","1","3","2","80","","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-siap-huni-lokasi-jatimulya-depok-167211599577.html","Rumah siap huni lokasi Jatimulya depok","Jatimulya, Depok","Rp 690.000.000","80","1","2","1","45","","","yes","yes","","",""
"https://www.lamudi.co.id/jual-cepat-murah-rumah-cantik-3lt-komplek-banjaran-pucung-kota-depok.html","JUAL CEPAT MURAH, RUMAH CANTIK 3LT, KOMPLEK BANJARAN PUCUNG-KOTA DEPOK.","Tapos, Depok","Rp 2.340.000.000","136","1","5","5","300","","yes","yes","yes","yes","yes",""
"https://www.lamudi.co.id/rumah-megah-tanpa-dp-siap-huni.html","Rumah megah tanpa DP siap huni","Pondok Rajeg Depok","Rp 997.000.000","80","6","3","3","70","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/hunian-minimalis-tanpa-dp-siap-huni-di-kota-depok.html","Hunian minimalis tanpa DP siap huni di kota depok","Sawangan, Depok","Rp 765.000.000","50","","2","2","","","yes","yes","","","",""
"https://www.lamudi.co.id/hunian-baru-dp-0-idaman-keluarga.html","Hunian Baru DP 0% idaman keluarga","Depok, Depok","Rp 980.000.000","70","","3","3","","","yes","yes","","yes","",""
"https://www.lamudi.co.id/hunian-asri-tanpa-dp-siap-huni-ready-stock.html","Hunian asri tanpa DP siap huni ready stock","Cilodong, Depok","Rp 735.000.000","50","","2","2","","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-dua-lantai-di-lingkungan-gdc-tanpa-dp.html","Rumah dua lantai di lingkungan GDC tanpa DP","Depok, Depok","Rp 999.000.000","70","","3","3","","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/hunian-asri-tanpa-dp-siap-huni-di-kota-depok.html","Hunian asri tanpa DP siap huni di kota depok","Jl.duren seribu Sawangan, Depok","Rp 940.000.000","86","","3","3","70","","yes","yes","","yes","",""
"https://www.lamudi.co.id/hunian-dua-lantai-tanpa-dp-siap-huni-1.html","Hunian dua lantai tanpa DP siap huni","Grand Depok city Depok, Depok","Rp 997.000.000","80","","3","3","70","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/tanpa-dp-hunian-satu-lantai-siap-huni.html","Tanpa DP hunian satu lantai siap huni","Grand Depok city Depok, Depok","Rp 735.000.000","92","","2","2","50","","yes","yes","yes","","",""
"https://www.lamudi.co.id/hunian-asri-dua-lantai-tanpa-dp-siap-huni.html","Hunian asri dua lantai tanpa DP siap huni","Jl.kemang raya depok Depok","Rp 875.000.000","85","5","3","2","80","","yes","yes","","yes","",""
"https://www.lamudi.co.id/hunian-2-lantai-tanpa-dp-siap-huni.html","Hunian 2 lantai tanpa DP siap huni","Sukmajaya, Depok","Rp 997.000.000","87","","3","3","70","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/hunian-megah-tanpa-dp-cukup-boking-saja.html","Hunian megah tanpa DP cukup boking saja","Sukmajaya, Depok","Rp 997.000.000","80","","3","3","70","","yes","yes","","yes","",""
"https://www.lamudi.co.id/proses-di-bantu-hunian-tanpa-dp-0-di-depok.html","proses di bantu hunian tanpa DP 0% di depok","Sukmajaya, Depok","Rp 950.000.000","88","","3","3","70","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/tanpa-dp-0-cukup-3jt-dapet-hunian-mewah.html","tanpa DP 0% cukup 3jt dapet hunian mewah","Depok, Depok","Rp 1.100.000.000","85","","3","3","100","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/cukup-3jt-free-semua-biaya-hunian-tanpa-dp.html","cukup 3jt free semua biaya hunian tanpa DP","Depok, Depok","Rp 850.000.000","74","","3","2","60","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/hunian-mewah-akses-bagus-tanpa-dp-0-di-kota-depok.html","hunian mewah akses bagus tanpa DP 0% di kota depok","Depok, Depok","Rp 980.000.000","78","","3","3","70","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/cluster-megah-lokasi-pinggir-jalan-tanpa-dp-166755901344.html","cluster megah lokasi pinggir jalan tanpa DP","Sukmajaya, Depok","Rp 950.000.000","80","","3","3","75","","yes","","yes","yes","",""
"https://www.lamudi.co.id/tanpa-dp-0-free-biaya-surat2-cukup-3jt-saja-166801626085.html","tanpa DP 0% free biaya surat2 cukup 3jt saja","Sukmajaya, Depok","Rp 995.000.000","95","","3","3","100","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/tanpa-dp-0-hunian-2-lantai-harga-termurah-166912926589.html","tanpa DP 0% hunian 2 lantai harga termurah","Sukmajaya, Depok","Rp 810.000.000","70","","3","2","70","","yes","","yes","","",""
"https://www.lamudi.co.id/promo-hunian-2-lantai-bulan-juni-dp-0.html","PROMO HUNIAN 2 LANTAI BULAN JUNI DP 0%","Jl. H. Suhaemi Jl. Parung Tengah, RT.05/RW.03, Duren Mekar, Kec. Bojongsari, Kota Depok, Jawa Barat Depok","Rp 500.000.000","60","","2","1","60","","yes","","","","",""
"https://www.lamudi.co.id/rumah-cluster-dijual-jatimulya-depok-23.html","Rumah cluster dijual jatimulya depok","depok Cilodong, Depok","Rp 750.000.000","78","1","2","1","50","","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-cluster-siap-huni-lokasi-depok-jawa-barat.html","Rumah cluster siap huni lokasi depok jawa barat","jatimulya depok Cilodong, Depok","Rp 1.128.466.000","80","1","3","2","80","","","yes","yes","","",""
"https://www.lamudi.co.id/gratis-biaya-all-in-rumah-2-lantai-dekat-jalan-tol-166660612185.html","Gratis Biaya All In Rumah 2 Lantai Dekat Jalan Tol","Jalan Mandor Samin, Depok, Indonesia Cilodong, Depok","Rp 608.000.000","66","1","2","2","40","","","yes","yes","","",""
