"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_taman","rumah_keamanan","rumah_balcony","rumah_AC","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumahminimalis-depok-timur-promo.html","#rumahminimalis-depok-timur-PROMO","jalan raya raden saleh Sukmajaya, Depok","Rp 680.000.000","78","1","2","1","48","","yes","yes","yes","yes","yes",""
"https://www.lamudi.co.id/rumah-murah-dgn-luas-tanah-195m-dekat-toll-kukusan-kampus-ui-dan-stasiun-depok.html","Rumah murah dgn luas tanah 195m Dekat toll kukusan, kampus UI dan stasiun Depok","Beji kukusan Depok Beji, Depok","Rp 1.400.000.000","195","2","3","3","145","1","yes","","","","",""
"https://www.lamudi.co.id/rumah-dijual-di-depok-kota-depok-jawa-barat-166321922514.html","rumah dijual di depok kota depok jawa barat","jalan garuda 2 pasir putih sawangan Sawangan, Depok","Rp 315.000.000","60","1","2","1","36","","yes","yes","","","",""
"https://www.lamudi.co.id/perumahan-di-citayam-dp-0-siap-huni-dekat-stasiun-citayam.html","Perumahan Di Citayam DP 0% SIAP HUNI Dekat Stasiun Citayam","jl. kp bambon Citayam, Depok","Rp 400.000.000","66","1","2","1","40","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-mewah-dp-2jt-all-in-166667775788.html","Rumah mewah Dp 2jt all in","Kelapa Dua, Depok","Rp 414.000.000","72","","2","1","36","","yes","yes","","yes","",""
"https://www.lamudi.co.id/rumah-minimalis-asri-166821238323.html","rumah minimalis asri","Cipayung, Depok","Rp 185.000.000","40","","2","1","30","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-depok-2-lantai-promo.html","rumah minimalis depok 2 lantai PROMO","jalan raya pekapuran Sukatani, Depok","Rp 650.000.000","65","1","3","2","54","","yes","yes","yes","yes","yes",""
"https://www.lamudi.co.id/rumahminimalis-depok-pekapuran-sukatani-dp-0-cicilan-4juta.html","#rumahminimalis-depok-pekapuran-sukatani-DP-0%-cicilan 4juta","jalan raya nangka Sukamaju, Depok","Rp 550.000.000","68","1","2","1","40","","yes","yes","","yes","yes",""
"https://www.lamudi.co.id/di-jual-rumah-cantik-siap-huni-1.html","Di Jual rumah Cantik Siap huni","JL. Margonda Raya, Kampung Gedong, Kel. Kemirimuka, Kec. Beji, Depok Margonda, Depok","Rp 1.310.000.000","80","","3","3","90","","","","","","",""
"https://www.lamudi.co.id/hunian-syariah-bekasi-kota-dekat-mitra10-jati-kramat.html","Apartkost dekat kampus UI di selatan Jakarta","Beji depok Depok","Rp 2.899.000.000","99","","13","13","250","","yes","yes","","yes","",""
"https://www.lamudi.co.id/rumah-murah-325jt-dgn-lt-72m-di-bedahan-sawangan-depok.html","Rumah murah 325jt dgn LT; 72m di bedahan sawangan Depok","Sulaiman Bedahan, Depok","Rp 325.000.000","72","1","2","1","40","1","yes","yes","","","",""
