"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_lahan_parkir","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-minimalis-dengan-smartkey-165996565561.html","Rumah Minimalis dengan Smartkey","Jl RRI kampung serab tirtajaya Depok","Rp 931.000.000","3","2","66","72","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-166873937230.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.406.000.000","3","3","87","92","","yes","yes","yes","","7","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-di-bo-167022997094.html","Hunian 2 Lantai dengan Model Tropical Resort di Bojongsari","Jl. Raya Curug No 30 Depok","Rp 1.311.000.000","3","3","87","76","","yes","yes","yes","","7","yes",""
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-167118308522.html","Hunian 2 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 1.406.000.000","3","3","87","92","","yes","yes","yes","","7","yes",""
"https://www.lamudi.co.id/akses-2-mobil-hunian-2-lantai-di-kota-depok-tanpa-dp-0.html","akses 2 mobil hunian 2 lantai di kota Depok tanpa DP 0%","Depok, Depok","Rp 800.000.000","3","3","65","64","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/ready-siap-huni-tanpa-dp-0-lokasi-nempel-gdc-166244018659.html","ready siap huni tanpa DP 0% lokasi nempel GDC","Sukmajaya, Depok","Rp 915.000.000","3","3","70","72","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-murah-baru-terletak-di-pusat-kota-depok-harga-mulai-400jtan.html","Rumah Murah Baru Terletak di Pusat Kota Depok, Mulai 400jtan","Pancoran Mas, Depok","Rp 493.000.000","2","1","95","36","","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-dekat-stasiun-krl-depok-lama-167247536196.html","Rumah 2 Lantai Dekat Stasiun Krl Depok Lama","Cilodong, Depok","Rp 955.000.000","3","2","69","77","yes","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-trbaru-free-kitchen-set-dekat-jalan-utama-le-166607513184.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-dekat-tol-167256581080.html","Rumah Murah Dekat Tol","Tapos, Depok","Rp 800.000.000","3","2","60","50","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/town-house-dp-0-di-pusat-kota-depok-166676794874.html","Town House DP 0% di Pusat Kota depok","Kalibaru, Depok","Rp 985.000.000","3","3","90","78","yes","","yes","","","2","",""
"https://www.lamudi.co.id/rumah-murah-dekat-tol-167256547192.html","Rumah Murah Dekat Tol","Cimanggis, Depok","Rp 800.000.000","3","2","60","50","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/for-sale-cinere-modern-classic-house-dalam-komplek-166583627422.html","FOR SALE CINERE MODERN CLASSIC HOUSE DALAM KOMPLEK","Cinere, Depok","Rp 11.500.000.000","8","7","800","650","","","yes","","","","",""
"https://www.lamudi.co.id/rumah-modern-minimalis-di-radar-auri-cimanggis-mur-167264109387.html","Rumah Modern Minimalis di Radar Auri Cimanggis Murah SISA 1 Unit","Permata Puri Cibubur CImanggis Cisalak Cimanggis, Depok","Rp 880.000.000","3","2","72","65","","","","","","1","",""
"https://www.lamudi.co.id/hunian-milenial-dengan-harga-yang-masih-terjangkau-166840311579.html","Hunian Milenial Dengan Harga Yang Masih Terjangkau Di Cinangka","Jalan Komplek Bappeenas Kedaung Cinangka Sawangan Depok Sawangan, Depok","Rp 714.500.000","3","2","63","75","yes","yes","yes","yes","","2","yes",""
"https://www.lamudi.co.id/rumah-dp-0-tiga-lantai-free-mezzanine-167108776065.html","Rumah DP 0% Tiga lantai free mezzanine","Kelapa Dua, Depok","Rp 1.400.000.000","3","2","103","55","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-dp-0-di-kota-depok-166544828774.html","Rumah DP 0 di Kota Depok","Cilodong, Depok","Rp 560.000.000","2","1","48","60","","","","","","","",""
"https://www.lamudi.co.id/brand-new-cluster-3-lantai-pinggir-tol-krukut-anta-166687553839.html","Brand New Cluster 3 Lantai Pinggir TOL Krukut Antasari Jaksel Depok","Limo, Depok","Rp 1.722.000.000","3","3","155","84","","","yes","yes","3","","",""
"https://www.lamudi.co.id/rumah-ready-stok-skandinavia-dekat-pintu-tol-kukus-166729835626.html","Rumah Ready Stok Skandinavia Dekat Pintu Tol Kukusan Beji Depok","Beji, Depok","Rp 1.700.000.000","3","3","140","77","","","","yes","2","","",""
"https://www.lamudi.co.id/rumah-dekat-pintu-tol-cibubur-stasiun-lrt-harjamuk-167171899753.html","Rumah Dekat Pintu Tol Cibubur Stasiun LRT Harjamukti Cimanggis Depok","Cimanggis, Depok","Rp 1.512.000.000","3","2","88","74","yes","","","yes","2","","",""
"https://www.lamudi.co.id/rumah-200-jutaan-cash-di-citayam-akses-mobil-167136826154.html","rumah 200 jutaan cash di citayam akses mobil","jalan susukkan Citayam, Depok","Rp 265.000.000","2","1","38","55","","","yes","yes","1","","",""
"https://www.lamudi.co.id/di-jual-rumah-di-cinangka-sawangan-depok-dekat-jaksel-dan-tangsel.html","Di jual rumah di Cinangka sawangan Depok dekat Jaksel dan tangsel","Depok","Rp 945.000.000","3","3","101","68","","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-sawangan-depok.html","Di jual rumah sawangan Depok","Depok","Rp 795.000.000","3","2","70","63","","","","","","","",""
"https://www.lamudi.co.id/op119-rumah-baru-modern-minimalis-dgn-luas-100m-di-167266732290.html","Op119.Rumah Baru Modern Minimalis dgn Luas 100m di Cinere Megapolitan","Cinere Megapolitan Depok Cinere, Depok","Rp 1.850.000.000","4","5","130","100","","","","","","2","",""
"https://www.lamudi.co.id/op118-rumah-baru-modern-minimalis-dgn-luas-100m-di-167262618860.html","Op118.Rumah Baru Modern Minimalis dgn Luas 100m di Cinere Megapolitan","Cinere megapolitan depok Depok, Depok","Rp 1.850.000.000","4","5","130","100","","","","","","2","",""
"https://www.lamudi.co.id/hunian-minimalis-modern-mewah-terdekat-dari-stasiun-sudah-free-biaya-all-in.html","Hunian minimalis modern mewah terdekat dari stasiun sudah free biaya all in","Cipayung, Depok","Rp 455.000.000","2","1","40","62","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-subsidi-murah-di-tambun-dekat-summarecon-dan-167040051557.html","Rumah Minimalis 2 Lantai Free Biaya2 Dekat Exit Toll Cimanggis Depok","Tapos, Depok","Rp 760.000.000","3","2","47","45","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-muslim-syariah-tanpa-riba-di-cikarang-dekat-167040051271.html","Rumah 2 Lantai Free Biaya biaya Dekat Exit Toll Cimanggis Tapos Depok","Jalan Raya Leuwinanggung Cimanggis Tapos Depok Tapos, Depok","Rp 1.153.000.000","3","2","70","70","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-muslim-syariah-di-cimanggis-dekat-kampus-ui-167040051469.html","Rumah 2 Lantai Alexandria Dekat Exit Toll Cimanggis Tapos Depok","Jalan Raya Leuwinanggung Cimanggis Tapos Depok Tapos, Depok","Rp 1.152.000.000","3","2","70","70","","yes","yes","yes","","","",""
"https://www.lamudi.co.id/dijual-hunian-2-lantai-dekat-dengan-3-pintu-tol-ci-167101568353.html","DIJUAL HUNIAN 2 LANTAI DEKAT DENGAN 3 PINTU TOL CIMANGGIS","Cimanggis, Depok","Rp 995.000.000","3","2","74","64","","","","","","1","",""
"https://www.lamudi.co.id/rumah-murah-dijual-di-bogor-strategis-dekat-exit-t-166563281613.html","Rumah murah dijual di Bogor Strategis dekat exit toll","Sawangan, Depok","Rp 348.000.000","2","1","36","72","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-baru-2-jt-di-bogor-166578982381.html","Rumah baru 2 jt di Bogor","Sawangan, Depok","Rp 348.000.000","2","1","32","60","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/36-72-rumah-type-cempaka-angsuran-2-jtan-bogor-166680201938.html","36/72 rumah type cempaka angsuran 2 jtan Bogor","Bojongsari, Depok","Rp 348.000.000","2","1","36","72","yes","","yes","yes","","","yes",""
"https://www.lamudi.co.id/rumah-2-lantai-harga-1-lantai-di-depok-166665725190.html","Rumah 2 lantai harga 1 lantai di Cilodong, Depok","Sawangan, Depok Sawangan, Depok","Rp 353.000.000","2","2","40","40","","yes","","yes","","","",""
